,number,value,datetime_start,datetime_complete,duration,params_reg_param,state
47,47,0.6305749156293294,2023-04-08 13:20:01.340607,2023-04-08 13:20:01.512978,0 days 00:00:00.172371,0,COMPLETE
48,48,0.6443712687269234,2023-04-08 13:20:01.514488,2023-04-08 13:20:01.690290,0 days 00:00:00.175802,0,COMPLETE
49,49,0.6138137933630488,2023-04-08 13:20:01.691782,2023-04-08 13:20:01.860185,0 days 00:00:00.168403,0,COMPLETE
50,50,0.6290227556562813,2023-04-08 13:20:01.861690,2023-04-08 13:20:02.027181,0 days 00:00:00.165491,0,COMPLETE
51,51,0.6338064597116231,2023-04-08 13:20:02.028701,2023-04-08 13:20:02.202151,0 days 00:00:00.173450,0,COMPLETE
52,52,0.6501219924073938,2023-04-08 13:20:02.203658,2023-04-08 13:20:02.373086,0 days 00:00:00.169428,0,COMPLETE
53,53,0.6348071224789973,2023-04-08 13:20:02.374080,2023-04-08 13:20:02.544499,0 days 00:00:00.170419,0,COMPLETE
54,54,0.6518430921392611,2023-04-08 13:20:02.546007,2023-04-08 13:20:02.714511,0 days 00:00:00.168504,0,COMPLETE
55,55,0.6283288462919631,2023-04-08 13:20:02.715516,2023-04-08 13:20:02.885811,0 days 00:00:00.170295,0,COMPLETE
56,56,0.6307437621103575,2023-04-08 13:20:02.887319,2023-04-08 13:20:03.058121,0 days 00:00:00.170802,0,COMPLETE
57,57,0.6308654423885377,2023-04-08 13:20:03.059357,2023-04-08 13:20:03.226029,0 days 00:00:00.166672,0,COMPLETE
58,58,0.5,2023-04-08 13:20:03.227537,2023-04-08 13:20:03.399236,0 days 00:00:00.171699,1,COMPLETE
59,59,0.6081868730940408,2023-04-08 13:20:03.400732,2023-04-08 13:20:03.571089,0 days 00:00:00.170357,0,COMPLETE
60,60,0.6305749156293294,2023-04-08 13:20:03.572081,2023-04-08 13:20:03.744813,0 days 00:00:00.172732,0,COMPLETE
61,61,0.6443712687269234,2023-04-08 13:20:03.746835,2023-04-08 13:20:03.916335,0 days 00:00:00.169500,0,COMPLETE
62,62,0.6138137933630488,2023-04-08 13:20:03.917855,2023-04-08 13:20:04.087116,0 days 00:00:00.169261,0,COMPLETE
63,63,0.6290227556562813,2023-04-08 13:20:04.089126,2023-04-08 13:20:04.258803,0 days 00:00:00.169677,0,COMPLETE
64,64,0.6338064597116231,2023-04-08 13:20:04.259805,2023-04-08 13:20:04.431695,0 days 00:00:00.171890,0,COMPLETE
65,65,0.6501219924073938,2023-04-08 13:20:04.433191,2023-04-08 13:20:04.602853,0 days 00:00:00.169662,0,COMPLETE
66,66,0.6348071224789973,2023-04-08 13:20:04.604355,2023-04-08 13:20:04.773415,0 days 00:00:00.169060,0,COMPLETE
67,67,0.6518430921392611,2023-04-08 13:20:04.774934,2023-04-08 13:20:04.946725,0 days 00:00:00.171791,0,COMPLETE
68,68,0.6283288462919631,2023-04-08 13:20:04.948220,2023-04-08 13:20:05.119870,0 days 00:00:00.171650,0,COMPLETE
69,69,0.6307437621103575,2023-04-08 13:20:05.121892,2023-04-08 13:20:05.292987,0 days 00:00:00.171095,0,COMPLETE
70,70,0.6308654423885377,2023-04-08 13:20:05.294508,2023-04-08 13:20:05.460673,0 days 00:00:00.166165,0,COMPLETE
71,71,0.6139354228466849,2023-04-08 13:20:05.462181,2023-04-08 13:20:05.634614,0 days 00:00:00.172433,0,COMPLETE
72,72,0.6081868730940408,2023-04-08 13:20:05.636121,2023-04-08 13:20:05.810904,0 days 00:00:00.174783,0,COMPLETE
73,73,0.6305749156293294,2023-04-08 13:20:05.812102,2023-04-08 13:20:05.981700,0 days 00:00:00.169598,0,COMPLETE
74,74,0.6443712687269234,2023-04-08 13:20:05.983196,2023-04-08 13:20:06.152976,0 days 00:00:00.169780,0,COMPLETE
75,75,0.6138137933630488,2023-04-08 13:20:06.153968,2023-04-08 13:20:06.322329,0 days 00:00:00.168361,0,COMPLETE
76,76,0.6290227556562813,2023-04-08 13:20:06.324326,2023-04-08 13:20:06.493443,0 days 00:00:00.169117,0,COMPLETE
