,number,value,datetime_start,datetime_complete,duration,params_alpha,params_binarize,params_fit_prior,state
32,32,0.7208795079041168,2023-04-08 13:13:26.659608,2023-04-08 13:13:26.756678,0 days 00:00:00.097070,0.01373333981625564,0.4473375316725588,False,COMPLETE
33,33,0.7260160393804078,2023-04-08 13:13:26.758191,2023-04-08 13:13:26.846124,0 days 00:00:00.087933,0.05122788038652736,0.6353807146430221,False,COMPLETE
34,34,0.7342591229461278,2023-04-08 13:13:26.848140,2023-04-08 13:13:26.948635,0 days 00:00:00.100495,0.02071092977247631,0.3414671857007771,False,COMPLETE
35,35,0.714407648509672,2023-04-08 13:13:26.950149,2023-04-08 13:13:27.032051,0 days 00:00:00.081902,0.04256971766347727,0.3547170604351283,False,COMPLETE
36,36,0.7364828264041079,2023-04-08 13:13:27.033564,2023-04-08 13:13:27.118482,0 days 00:00:00.084918,0.021421493838925523,0.6520539303153184,False,COMPLETE
37,37,0.7342997293705145,2023-04-08 13:13:27.120495,2023-04-08 13:13:27.203914,0 days 00:00:00.083419,0.011492831255532625,0.640443366543436,False,COMPLETE
38,38,0.7172171272418945,2023-04-08 13:13:27.205419,2023-04-08 13:13:27.288831,0 days 00:00:00.083412,0.050889414784934,0.6600653614108902,False,COMPLETE
39,39,0.681068469558752,2023-04-08 13:13:27.290244,2023-04-08 13:13:27.372247,0 days 00:00:00.082003,0.019637227118710576,0.16402934566559393,False,COMPLETE
40,40,0.6850876001687756,2023-04-08 13:13:27.373761,2023-04-08 13:13:27.456166,0 days 00:00:00.082405,0.03478152156837307,0.24533249180905264,False,COMPLETE
41,41,0.7471421925681369,2023-04-08 13:13:27.457679,2023-04-08 13:13:27.542098,0 days 00:00:00.084419,0.01123575368105831,0.742127902709803,False,COMPLETE
42,42,0.6787564575812394,2023-04-08 13:13:27.544110,2023-04-08 13:13:27.645614,0 days 00:00:00.101504,0.008804619102536439,0.776290728956712,False,COMPLETE
43,43,0.7132627325193585,2023-04-08 13:13:27.647624,2023-04-08 13:13:27.740584,0 days 00:00:00.092960,0.011429370004765262,0.4509784040987296,False,COMPLETE
44,44,0.7027891389884433,2023-04-08 13:13:27.742097,2023-04-08 13:13:27.838573,0 days 00:00:00.096476,0.02421184250710663,0.9612112925082801,False,COMPLETE
45,45,0.6953023032237626,2023-04-08 13:13:27.840086,2023-04-08 13:13:27.937063,0 days 00:00:00.096977,0.031075244105594244,0.23881998604110666,False,COMPLETE
46,46,0.7241421639584756,2023-04-08 13:13:27.938558,2023-04-08 13:13:28.034047,0 days 00:00:00.095489,0.07497929462523095,0.6759885053853362,False,COMPLETE
47,47,0.7178368232480642,2023-04-08 13:13:28.035560,2023-04-08 13:13:28.118976,0 days 00:00:00.083416,0.00749445563266505,0.394149892912604,True,COMPLETE
48,48,0.73290108087877,2023-04-08 13:13:28.120482,2023-04-08 13:13:28.204397,0 days 00:00:00.083915,0.019509290481686866,0.5765888848251199,False,COMPLETE
49,49,0.7432041346484815,2023-04-08 13:13:28.205910,2023-04-08 13:13:28.289320,0 days 00:00:00.083410,0.01167506455808893,0.25611586666595515,False,COMPLETE
50,50,0.7380109501790948,2023-04-08 13:13:28.290833,2023-04-08 13:13:28.375251,0 days 00:00:00.084418,0.015163925734402088,0.2552138548208662,False,COMPLETE
51,51,0.6780973832203482,2023-04-08 13:13:28.376761,2023-04-08 13:13:28.459167,0 days 00:00:00.082406,0.014082180142909791,0.2347437077866583,False,COMPLETE
52,52,0.6816076510492766,2023-04-08 13:13:28.460681,2023-04-08 13:13:28.549624,0 days 00:00:00.088943,0.01185537628881926,0.1528858147725186,False,COMPLETE
53,53,0.7020867974734195,2023-04-08 13:13:28.551135,2023-04-08 13:13:28.649114,0 days 00:00:00.097979,0.022982110942154202,0.3765232698728824,False,COMPLETE
54,54,0.7248873563624494,2023-04-08 13:13:28.650627,2023-04-08 13:13:28.733540,0 days 00:00:00.082913,0.009075301886927527,0.27184195886911006,False,COMPLETE
55,55,0.7123952904561097,2023-04-08 13:13:28.735046,2023-04-08 13:13:28.834042,0 days 00:00:00.098996,0.016764619461317656,0.5121003285881133,True,COMPLETE
56,56,0.6755820146980391,2023-04-08 13:13:28.835547,2023-04-08 13:13:28.934039,0 days 00:00:00.098492,0.025674222524311435,0.8238190991416116,False,COMPLETE
57,57,0.7537453275676274,2023-04-08 13:13:28.935730,2023-04-08 13:13:29.031024,0 days 00:00:00.095294,0.007478812383947955,0.3794035454773158,False,COMPLETE
58,58,0.67143762577893,2023-04-08 13:13:29.032530,2023-04-08 13:13:29.116449,0 days 00:00:00.083919,0.007382920789457979,0.1243838046616981,True,COMPLETE
59,59,0.6947961070078776,2023-04-08 13:13:29.117955,2023-04-08 13:13:29.211422,0 days 00:00:00.093467,0.010200768567345968,0.2175285675776469,False,COMPLETE
