,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,state
29,29,0.5,2023-04-08 13:12:30.220775,2023-04-08 13:12:31.111702,0 days 00:00:00.890927,0.0018706071155609489,6.184724202686542,0.10370845016009536,rbf,COMPLETE
30,30,0.7186730030825387,2023-04-08 13:12:31.113208,2023-04-08 13:12:31.893601,0 days 00:00:00.780393,0.047100248302226866,5.022439672415418,0.09869716300885024,rbf,COMPLETE
31,31,0.7150728675301055,2023-04-08 13:12:31.895107,2023-04-08 13:12:32.758916,0 days 00:00:00.863809,0.02465838767703084,4.831328648745286,0.09406599036466158,rbf,COMPLETE
32,32,0.7346806718793963,2023-04-08 13:12:32.760422,2023-04-08 13:12:33.559424,0 days 00:00:00.799002,0.04964189750078591,4.43852937592424,0.0800806639302103,rbf,COMPLETE
33,33,0.7252539529641193,2023-04-08 13:12:33.561434,2023-04-08 13:12:34.471455,0 days 00:00:00.910021,0.03806304448587512,4.6219969068783,0.03643772174339403,rbf,COMPLETE
34,34,0.7132196920034378,2023-04-08 13:12:34.473475,2023-04-08 13:12:35.293064,0 days 00:00:00.819589,0.12987973770169722,4.547820831274079,0.0318183064563844,rbf,COMPLETE
35,35,0.5,2023-04-08 13:12:35.294574,2023-04-08 13:12:37.081992,0 days 00:00:01.787418,0.0029647396372019363,5.705583729746048,0.012238134977291783,rbf,COMPLETE
36,36,0.5,2023-04-08 13:12:37.083642,2023-04-08 13:12:38.097541,0 days 00:00:01.013899,0.08604463207832158,10.517745615886119,0.004202293770022798,rbf,COMPLETE
37,37,0.5,2023-04-08 13:12:38.101055,2023-04-08 13:12:39.734196,0 days 00:00:01.633141,0.022180086562760087,8.356502925311851,0.0239497169344353,rbf,COMPLETE
38,38,0.7111335685751708,2023-04-08 13:12:39.737212,2023-04-08 13:12:41.177393,0 days 00:00:01.440181,0.21965562497113306,4.082894520635285,0.05196198323586282,rbf,COMPLETE
39,39,0.5,2023-04-08 13:12:41.178899,2023-04-08 13:12:41.619113,0 days 00:00:00.440214,0.004162266266282121,2.6667848845502804,0.004498248372252864,sigmoid,COMPLETE
40,40,0.5,2023-04-08 13:12:41.620619,2023-04-08 13:12:42.528647,0 days 00:00:00.908028,0.0007718638676221671,5.653662989431953,0.0008344128090858094,rbf,COMPLETE
41,41,0.7134929068996272,2023-04-08 13:12:42.530657,2023-04-08 13:12:43.293461,0 days 00:00:00.762804,0.05553408982889773,4.9680120778512595,0.1362031401939878,rbf,COMPLETE
42,42,0.7119201190481523,2023-04-08 13:12:43.295463,2023-04-08 13:12:44.060769,0 days 00:00:00.765306,0.055480884375257555,4.259423672633691,0.17535898856144982,rbf,COMPLETE
43,43,0.7091119936500974,2023-04-08 13:12:44.062779,2023-04-08 13:12:44.936152,0 days 00:00:00.873373,0.021939191224358966,6.520703471507983,0.058165713925167034,rbf,COMPLETE
