,number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
10,10,0.730680510315286,2023-04-10 20:07:35.715473,2023-04-10 20:08:02.959690,0 days 00:00:27.244217,0.00621152338077866,dart,0.9797699706877061,0.2459432573847781,0.0021056709320238765,depthwise,3.92056833187008e-05,9,9,forest,0.4069450357665642,weighted,0.7976701076209144,0.5226689655971197,COMPLETE
11,11,0.7063618476099587,2023-04-10 20:08:02.961691,2023-04-10 20:08:04.443811,0 days 00:00:01.482120,0.0003521747441341471,gbtree,0.3343984912830862,0.7921315098997168,0.006618297042780852,lossguide,0.0007620646542928395,4,4,,,,,0.5120613767261509,COMPLETE
12,12,0.7271951363413311,2023-04-10 20:08:04.446812,2023-04-10 20:08:16.556798,0 days 00:00:12.109986,1.3228771507573625e-05,dart,0.3167137881266898,0.028153670952607242,1.0112672499649334e-08,lossguide,0.0024390732588779893,5,4,tree,0.6807675448650377,uniform,4.956460858940679e-08,0.37210125899394386,COMPLETE
13,13,0.6886072990922598,2023-04-10 20:08:16.558798,2023-04-10 20:08:18.281938,0 days 00:00:01.723140,0.005947380243828627,gbtree,0.4017270304740017,0.5633334953459804,0.9013006001709425,depthwise,9.853008253535773e-05,5,3,,,,,0.5051565277613053,COMPLETE
14,14,0.730664369937853,2023-04-10 20:08:18.283938,2023-04-10 20:08:19.739057,0 days 00:00:01.455119,0.9432052313422917,gbtree,0.20187016537959634,0.02616847613435013,0.0012480700028564377,lossguide,0.005634454624555605,8,8,,,,,0.6345194694318742,COMPLETE
15,15,0.6873233092861125,2023-04-10 20:08:19.741057,2023-04-10 20:08:50.031523,0 days 00:00:30.290466,1.1779501392232572e-08,dart,0.31743962451577146,0.9720492806897367,0.06275101041675137,depthwise,1.3809866563528004e-05,1,5,tree,1.3406769225989715e-05,uniform,0.014580711276009068,0.3100547405974824,COMPLETE
16,16,0.7562534834563915,2023-04-10 20:08:50.033523,2023-04-10 20:08:51.573648,0 days 00:00:01.540125,3.555531521968879e-06,gbtree,0.462838219658839,0.03431279182374882,0.0002735416491129095,lossguide,0.0005948170710340112,3,3,,,,,0.46130566572295617,COMPLETE
17,17,0.7424767235282947,2023-04-10 20:08:51.575648,2023-04-10 20:09:19.484920,0 days 00:00:27.909272,0.0013668722164386928,dart,0.46678700613263435,0.08130130513158709,0.00011525251072250574,depthwise,0.025823933920441206,2,5,forest,2.847029627811296e-05,weighted,0.006579072092171223,0.4605526598088775,COMPLETE
18,18,0.7024954170754282,2023-04-10 20:09:19.486920,2023-04-10 20:09:48.528284,0 days 00:00:29.041364,5.95165822946725e-05,dart,0.4158180406086212,0.0017265478619391873,0.0001182790589881873,depthwise,0.0002241674982696136,3,3,tree,0.03841770036482104,uniform,0.49195737265457934,0.5446546818161656,COMPLETE
19,19,0.7176083965354264,2023-04-10 20:09:48.531284,2023-04-10 20:09:50.084411,0 days 00:00:01.553127,2.344493028815816e-06,gbtree,0.5315210313416076,0.10913115789842233,2.803307861184322e-05,lossguide,0.013375875337827794,4,5,,,,,0.5806633705444978,COMPLETE
20,20,0.725245703569671,2023-04-10 20:09:50.086410,2023-04-10 20:09:51.619535,0 days 00:00:01.533125,5.706925016147021e-05,gbtree,0.6419175205183985,0.008163957733086114,0.000675506110963445,lossguide,0.001123126238400484,2,3,,,,,0.44864399709169556,COMPLETE
21,21,0.7570192745136082,2023-04-10 20:09:51.622535,2023-04-10 20:10:22.362038,0 days 00:00:30.739503,0.0033509109332049056,dart,0.4447368098738561,0.08824677759156214,0.00017425851065127961,depthwise,0.037712976939826344,2,5,forest,6.297466326273595e-05,weighted,0.007509385349776105,0.4495024088999037,COMPLETE
22,22,0.7606716518321459,2023-04-10 20:10:22.364037,2023-04-10 20:10:53.444568,0 days 00:00:31.080531,0.03372806145976342,dart,0.4752464395037324,0.11955764904150795,1.7201743021389807e-05,depthwise,0.1109266404570408,2,7,forest,0.0005099358700087972,weighted,0.008040712090619713,0.4541518041108127,COMPLETE
23,23,0.754222861238587,2023-04-10 20:10:53.447567,2023-04-10 20:11:24.770117,0 days 00:00:31.322550,0.0017696477253892518,dart,0.48004101964136653,0.05656648872912919,0.0002730227747969988,depthwise,0.08601129338534835,2,7,forest,2.8446177282644743e-05,weighted,0.0027628899502482674,0.43875696352134486,COMPLETE
24,24,0.7132932827981089,2023-04-10 20:11:24.772117,2023-04-10 20:11:56.533702,0 days 00:00:31.761585,0.08579104539587117,dart,0.4879538083548403,0.09664632262701828,4.044158109932325e-05,depthwise,0.246475429027405,1,7,forest,1.8325446664990503e-06,weighted,0.0020390456775875258,0.30498919218530296,COMPLETE
25,25,0.6981829487827096,2023-04-10 20:11:56.536702,2023-04-10 20:12:27.119191,0 days 00:00:30.582489,0.00028442625736900155,dart,0.5394532542833462,0.0036462352290493037,1.2857152215910087e-05,depthwise,0.01215761385174213,2,8,forest,0.0003248396234092338,weighted,0.02440719713559238,0.46836397383786565,COMPLETE
26,26,0.7323252897311829,2023-04-10 20:12:27.122192,2023-04-10 20:12:56.257563,0 days 00:00:29.135371,0.014510948848051342,dart,0.3709262132265914,0.9919845232017546,0.00042353379300260263,depthwise,0.19318680796904578,4,8,forest,0.00017615393643777202,weighted,0.000328679272171458,0.3759961107274228,COMPLETE
27,27,0.7185232892287887,2023-04-10 20:12:56.260563,2023-04-10 20:13:30.875381,0 days 00:00:34.614818,0.0053985984643711285,dart,0.46350804024897685,0.025578987881497442,0.0028540249794445855,depthwise,0.6749546089885771,3,4,forest,1.9800638283062117e-06,weighted,0.0012899185150453054,0.6202849152713052,COMPLETE
28,28,0.7482964790978756,2023-04-10 20:13:30.878381,2023-04-10 20:13:32.315498,0 days 00:00:01.437117,0.1997486843613344,gbtree,0.4377605711495976,0.24386613106098762,0.00023908087952827754,lossguide,0.03709953854034372,2,7,,,,,0.47353734720796353,COMPLETE
29,29,0.7167658900646086,2023-04-10 20:13:32.318499,2023-04-10 20:14:02.026916,0 days 00:00:29.708417,0.058377936248137245,dart,0.5773328461312861,0.0005378577084947165,1.481877607509343e-05,depthwise,0.00903129974075272,1,6,forest,0.0022084263309546256,weighted,0.022703005253086838,0.329538264570973,COMPLETE
30,30,0.7354927226165107,2023-04-10 20:14:02.028916,2023-04-10 20:14:33.652491,0 days 00:00:31.623575,0.0013725382104635044,dart,0.37732335049445975,0.011206522575884092,0.010648744401975144,depthwise,0.08910847349212393,3,3,forest,0.00011720061360230042,weighted,0.08616686624476161,0.41704440827630057,COMPLETE
31,31,0.7280201057735672,2023-04-10 20:14:33.654491,2023-04-10 20:15:01.552763,0 days 00:00:27.898272,0.024131519514166134,dart,0.37950278348111,0.24102839752469135,5.04991522071045e-07,depthwise,0.005176790576894572,6,5,tree,0.02125606211913176,uniform,0.0913420782727951,0.5366626766826998,COMPLETE
32,32,0.7276434822516954,2023-04-10 20:15:01.555763,2023-04-10 20:15:30.003083,0 days 00:00:28.447320,0.02407600142159715,dart,0.4432528772233838,0.037682776852119855,4.707101818227406e-08,depthwise,0.0006329883797333613,4,5,forest,0.07071068047958716,weighted,0.1865163962305063,0.5751812336666251,COMPLETE
33,33,0.7438510854672173,2023-04-10 20:15:30.005078,2023-04-10 20:16:00.461556,0 days 00:00:30.456478,0.12085013932426521,dart,0.25471814113130353,0.269861657284581,9.400610701936727e-07,depthwise,0.020698153095288982,8,4,tree,0.002223772309048194,uniform,0.04503297927745649,0.39632632991345523,COMPLETE
34,34,0.6907207985695286,2023-04-10 20:16:00.463556,2023-04-10 20:16:33.943283,0 days 00:00:33.479727,0.4766460605909233,dart,0.35837202689378356,0.015512394525800053,1.164411748519916e-07,depthwise,0.002749433580129805,6,2,forest,0.18628158789678664,weighted,0.6992985584191638,0.3505066547052845,COMPLETE
35,35,0.7402450866603182,2023-04-10 20:16:33.946282,2023-04-10 20:16:35.498408,0 days 00:00:01.552126,0.21938094489777554,gbtree,0.26425737188854237,0.09584807890941358,0.00014433826968689094,lossguide,0.9327948615982136,2,6,,,,,0.484820024619235,COMPLETE
36,36,0.7171403391203375,2023-04-10 20:16:35.500408,2023-04-10 20:16:37.818598,0 days 00:00:02.318190,0.0273619518878352,dart,0.506352557506523,0.3667642066826282,9.348984573544021e-06,depthwise,0.2262263748732193,1,4,tree,0.9777743036449257,uniform,0.00820995455040171,0.6712202156377228,COMPLETE
37,37,0.7163627043584133,2023-04-10 20:16:37.821597,2023-04-10 20:16:39.398726,0 days 00:00:01.577129,2.866929896768527e-06,gbtree,0.40958122356070537,0.041828190724171974,5.0783106957312336e-05,lossguide,0.0002793376118885562,3,6,,,,,0.4040676358035538,COMPLETE
38,38,0.7206360351166942,2023-04-10 20:16:39.401726,2023-04-10 20:17:10.310242,0 days 00:00:30.908516,0.057758009000411004,dart,0.5779867947466388,0.011687391925240787,6.668494014468546e-07,depthwise,0.003823576292683191,4,5,forest,0.01233605065397223,weighted,0.007422417793118745,0.5661752769205,COMPLETE
39,39,0.7315311995743357,2023-04-10 20:17:10.313242,2023-04-10 20:17:11.889371,0 days 00:00:01.576129,5.92588407052043e-07,gbtree,0.4527396130974942,0.16716212361292276,0.00070016939204325,lossguide,0.0017283174444972604,8,9,,,,,0.4991382881315157,COMPLETE
40,40,0.7445195676356269,2023-04-10 20:17:11.892371,2023-04-10 20:17:37.824482,0 days 00:00:25.932111,0.0027379649319379962,dart,0.5013152817540714,0.47753377959810733,5.240873304458858e-06,depthwise,0.028929960691546474,3,2,forest,0.21922853110885723,weighted,0.2123697719522746,0.28544876168961,COMPLETE
