,number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,state
37,37,0.7113631690253509,2023-04-08 13:11:39.193668,2023-04-08 13:11:39.328840,0 days 00:00:00.135172,3.1884161014277703,20,94,13,81,random,COMPLETE
38,38,0.6516143630483657,2023-04-08 13:11:39.330848,2023-04-08 13:11:39.550116,0 days 00:00:00.219268,1.6480092922359266,9,84,21,89,best,COMPLETE
39,39,0.7102994923667082,2023-04-08 13:11:39.552629,2023-04-08 13:11:39.761689,0 days 00:00:00.209060,3.49175063493274,16,100,9,97,random,COMPLETE
40,40,0.6787171533644978,2023-04-08 13:11:39.764191,2023-04-08 13:11:39.923997,0 days 00:00:00.159806,2.407141828543664,24,82,29,19,best,COMPLETE
41,41,0.705729445455719,2023-04-08 13:11:39.925497,2023-04-08 13:11:40.056654,0 days 00:00:00.131157,2.8925084799835323,7,75,24,100,random,COMPLETE
42,42,0.7204311112925824,2023-04-08 13:11:40.058652,2023-04-08 13:11:40.198863,0 days 00:00:00.140211,1.9659681960925275,18,92,2,93,random,COMPLETE
43,43,0.69168740558621,2023-04-08 13:11:40.200370,2023-04-08 13:11:40.316952,0 days 00:00:00.116582,1.6521870031584478,16,90,1,81,random,COMPLETE
44,44,0.6962847302841468,2023-04-08 13:11:40.318447,2023-04-08 13:11:40.430519,0 days 00:00:00.112072,3.6736804423075666,25,93,6,88,random,COMPLETE
45,45,0.69120733843051,2023-04-08 13:11:40.431510,2023-04-08 13:11:40.548092,0 days 00:00:00.116582,1.7510578562502765,6,86,16,96,random,COMPLETE
46,46,0.6593923049056483,2023-04-08 13:11:40.550607,2023-04-08 13:11:40.672210,0 days 00:00:00.121603,1.1809012465404827,13,95,10,91,random,COMPLETE
47,47,0.6396308948232899,2023-04-08 13:11:40.674735,2023-04-08 13:11:40.797335,0 days 00:00:00.122600,1.0062434695558995,18,100,32,82,random,COMPLETE
48,48,0.6892432911696205,2023-04-08 13:11:40.799596,2023-04-08 13:11:40.930511,0 days 00:00:00.130915,2.227593330402974,11,81,16,28,best,COMPLETE
49,49,0.7031503733911848,2023-04-08 13:11:40.932006,2023-04-08 13:11:41.067180,0 days 00:00:00.135174,4.583562273307237,25,91,3,96,random,COMPLETE
50,50,0.7185608915432983,2023-04-08 13:11:41.069189,2023-04-08 13:11:41.194816,0 days 00:00:00.125627,3.3138411380695905,5,86,39,86,random,COMPLETE
51,51,0.6974647374619105,2023-04-08 13:11:41.196826,2023-04-08 13:11:41.328985,0 days 00:00:00.132159,3.518837088341102,5,87,40,86,random,COMPLETE
52,52,0.7126077267701538,2023-04-08 13:11:41.330493,2023-04-08 13:11:41.444575,0 days 00:00:00.114082,2.3377616270943777,3,79,34,100,random,COMPLETE
53,53,0.700732127024666,2023-04-08 13:11:41.446591,2023-04-08 13:11:41.562652,0 days 00:00:00.116061,3.8685327106191627,11,93,23,92,random,COMPLETE
54,54,0.6893237869566816,2023-04-08 13:11:41.565163,2023-04-08 13:11:41.675731,0 days 00:00:00.110568,5.120554894784947,29,97,30,86,random,COMPLETE
55,55,0.7190997873216451,2023-04-08 13:11:41.677225,2023-04-08 13:11:41.798828,0 days 00:00:00.121603,3.030911121107486,7,84,37,79,random,COMPLETE
56,56,0.7263295685129239,2023-04-08 13:11:41.800850,2023-04-08 13:11:41.915925,0 days 00:00:00.115075,3.247508203341222,7,85,38,75,random,COMPLETE
57,57,0.699331560043899,2023-04-08 13:11:41.917421,2023-04-08 13:11:42.030999,0 days 00:00:00.113578,4.528022540732593,22,76,6,74,random,COMPLETE
58,58,0.6853659855010559,2023-04-08 13:11:42.032997,2023-04-08 13:11:42.158132,0 days 00:00:00.125135,5.643230511007075,9,70,36,57,best,COMPLETE
59,59,0.7003273881822114,2023-04-08 13:11:42.159633,2023-04-08 13:11:42.285776,0 days 00:00:00.126143,1.9555555296530351,18,83,42,67,random,COMPLETE
60,60,0.6860430264080808,2023-04-08 13:11:42.288269,2023-04-08 13:11:42.421935,0 days 00:00:00.133666,4.467500375884839,2,79,85,80,random,COMPLETE
61,61,0.7228162018777532,2023-04-08 13:11:42.423945,2023-04-08 13:11:42.550087,0 days 00:00:00.126142,2.9881894785118495,8,87,44,78,random,COMPLETE
62,62,0.7055665842643212,2023-04-08 13:11:42.552084,2023-04-08 13:11:42.693358,0 days 00:00:00.141274,2.808410602106608,7,89,44,73,random,COMPLETE
63,63,0.7094175689240652,2023-04-08 13:11:42.695367,2023-04-08 13:11:42.819506,0 days 00:00:00.124139,3.824829798061783,15,97,36,78,random,COMPLETE
64,64,0.696098508393098,2023-04-08 13:11:42.820995,2023-04-08 13:11:42.960707,0 days 00:00:00.139712,1.7988728302762425,12,85,17,89,random,COMPLETE
65,65,0.6878286779034032,2023-04-08 13:11:42.962211,2023-04-08 13:11:43.065225,0 days 00:00:00.103014,2.9518855075640067,8,14,32,44,random,COMPLETE
66,66,0.6924754635159568,2023-04-08 13:11:43.067223,2023-04-08 13:11:43.191343,0 days 00:00:00.124120,4.928208894294009,18,100,13,84,random,COMPLETE
67,67,0.7058523915920366,2023-04-08 13:11:43.192849,2023-04-08 13:11:43.322507,0 days 00:00:00.129658,4.062039075809866,35,91,50,58,random,COMPLETE
68,68,0.6664173833315999,2023-04-08 13:11:43.324003,2023-04-08 13:11:43.429542,0 days 00:00:00.105539,3.191561217598468,22,24,53,67,random,COMPLETE
69,69,0.706098129156559,2023-04-08 13:11:43.431042,2023-04-08 13:11:43.547115,0 days 00:00:00.116073,2.139603009228437,26,81,38,97,random,COMPLETE
70,70,0.6739902616700468,2023-04-08 13:11:43.549180,2023-04-08 13:11:43.666223,0 days 00:00:00.117043,1.507938880549727,5,72,48,74,random,COMPLETE
71,71,0.7076141228752801,2023-04-08 13:11:43.667214,2023-04-08 13:11:43.781296,0 days 00:00:00.114082,3.2802487864666725,4,85,42,83,random,COMPLETE
72,72,0.6892708329638187,2023-04-08 13:11:43.783796,2023-04-08 13:11:43.900399,0 days 00:00:00.116603,2.78229692862964,9,88,38,78,random,COMPLETE
73,73,0.7068670218677969,2023-04-08 13:11:43.901884,2023-04-08 13:11:44.020489,0 days 00:00:00.118605,6.0197955233268985,15,95,44,88,random,COMPLETE
74,74,0.6967277008640947,2023-04-08 13:11:44.021983,2023-04-08 13:11:44.146102,0 days 00:00:00.124119,3.894874105393989,12,92,34,70,random,COMPLETE
75,75,0.6542617631291023,2023-04-08 13:11:44.148125,2023-04-08 13:11:44.278782,0 days 00:00:00.130657,1.0336959358509603,2,87,30,93,random,COMPLETE
76,76,0.732349296944881,2023-04-08 13:11:44.280271,2023-04-08 13:11:44.402393,0 days 00:00:00.122122,3.3282562584034654,6,78,39,2,random,COMPLETE
77,77,0.6705521484008177,2023-04-08 13:11:44.404393,2023-04-08 13:11:44.557667,0 days 00:00:00.153274,1.897181336203995,19,78,47,29,best,COMPLETE
78,78,0.6817747581227122,2023-04-08 13:11:44.558659,2023-04-08 13:11:44.674751,0 days 00:00:00.116092,2.5787430946233805,8,82,28,3,random,COMPLETE
79,79,0.6757498288854793,2023-04-08 13:11:44.676245,2023-04-08 13:11:44.817952,0 days 00:00:00.141707,4.934333501470919,92,96,25,16,random,COMPLETE
80,80,0.6947925946485063,2023-04-08 13:11:44.819460,2023-04-08 13:11:44.931033,0 days 00:00:00.111573,4.316093707646921,15,68,56,98,random,COMPLETE
81,81,0.7159811021871708,2023-04-08 13:11:44.932524,2023-04-08 13:11:45.045097,0 days 00:00:00.112573,3.6397026563798307,5,89,40,90,random,COMPLETE
82,82,0.6906055308236545,2023-04-08 13:11:45.047095,2023-04-08 13:11:45.169719,0 days 00:00:00.122624,3.2155935415130052,11,84,3,94,random,COMPLETE
83,83,0.7178001864647363,2023-04-08 13:11:45.171213,2023-04-08 13:11:45.285300,0 days 00:00:00.114087,2.1743541179569608,6,92,21,85,random,COMPLETE
84,84,0.6620210983291226,2023-04-08 13:11:45.286790,2023-04-08 13:11:45.425999,0 days 00:00:00.139209,1.5059891862392725,13,77,38,80,random,COMPLETE
85,85,0.6943455975952686,2023-04-08 13:11:45.427491,2023-04-08 13:11:45.560677,0 days 00:00:00.133186,2.7125340157475497,9,98,45,49,random,COMPLETE
86,86,0.7106602998136831,2023-04-08 13:11:45.562163,2023-04-08 13:11:45.683283,0 days 00:00:00.121120,3.418662300086485,17,94,8,87,random,COMPLETE
87,87,0.6903354347686886,2023-04-08 13:11:45.684774,2023-04-08 13:11:45.818440,0 days 00:00:00.133666,5.504236916197282,21,73,34,94,random,COMPLETE
88,88,0.6896153173903684,2023-04-08 13:11:45.820953,2023-04-08 13:11:45.960667,0 days 00:00:00.139714,4.10547691940625,70,86,32,8,best,COMPLETE
89,89,0.7215427868118287,2023-04-08 13:11:45.962157,2023-04-08 13:11:46.077250,0 days 00:00:00.115093,2.057636999815259,6,90,39,90,random,COMPLETE
90,90,0.7210515561614281,2023-04-08 13:11:46.078739,2023-04-08 13:11:46.210414,0 days 00:00:00.131675,2.145955316933945,14,90,42,98,random,COMPLETE
91,91,0.6421053744585757,2023-04-08 13:11:46.212405,2023-04-08 13:11:46.328999,0 days 00:00:00.116594,1.4385043014321965,14,90,42,98,random,COMPLETE
92,92,0.6754783409296101,2023-04-08 13:11:46.330494,2023-04-08 13:11:46.470693,0 days 00:00:00.140199,2.0714218012004117,10,99,36,96,random,COMPLETE
93,93,0.702943235185959,2023-04-08 13:11:46.472200,2023-04-08 13:11:46.583267,0 days 00:00:00.111067,2.6468314990083166,7,80,52,90,random,COMPLETE
94,94,0.7233721519093307,2023-04-08 13:11:46.584762,2023-04-08 13:11:46.692816,0 days 00:00:00.108054,1.7873937226645398,2,95,46,100,random,COMPLETE
95,95,0.6792346914765727,2023-04-08 13:11:46.694309,2023-04-08 13:11:46.804373,0 days 00:00:00.110064,1.8407474467411284,2,94,49,100,random,COMPLETE
96,96,0.7151033511210956,2023-04-08 13:11:46.805864,2023-04-08 13:11:46.939048,0 days 00:00:00.133184,2.361406411718324,4,97,13,95,random,COMPLETE
97,97,0.6555434250036231,2023-04-08 13:11:46.941043,2023-04-08 13:11:47.117936,0 days 00:00:00.176893,1.28624740603783,63,89,46,92,random,COMPLETE
98,98,0.7041908900701837,2023-04-08 13:11:47.119930,2023-04-08 13:11:47.257873,0 days 00:00:00.137943,2.0318328788420987,46,93,43,97,random,COMPLETE
99,99,0.6513022177956403,2023-04-08 13:11:47.259379,2023-04-08 13:11:47.379474,0 days 00:00:00.120095,1.428204944845493,11,91,4,100,random,COMPLETE
