,number,value,datetime_start,datetime_complete,duration,params_leaf_size,params_n_neighbors,params_p,state
44,44,0.6486592474850154,2023-04-08 13:11:57.299946,2023-04-08 13:11:57.557230,0 days 00:00:00.257284,56,5,2,COMPLETE
45,45,0.712411681626708,2023-04-08 13:11:57.559239,2023-04-08 13:11:57.788384,0 days 00:00:00.229145,44,2,2,COMPLETE
46,46,0.6900049308896026,2023-04-08 13:11:57.789887,2023-04-08 13:11:58.027070,0 days 00:00:00.237183,52,4,1,COMPLETE
47,47,0.664541621544482,2023-04-08 13:11:58.028574,2023-04-08 13:11:58.210480,0 days 00:00:00.181906,16,6,2,COMPLETE
48,48,0.6040764200288841,2023-04-08 13:11:58.211988,2023-04-08 13:11:58.398418,0 days 00:00:00.186430,39,30,2,COMPLETE
49,49,0.647236339167151,2023-04-08 13:11:58.399925,2023-04-08 13:11:58.571789,0 days 00:00:00.171864,45,3,2,COMPLETE
50,50,0.6639105353093268,2023-04-08 13:11:58.573294,2023-04-08 13:11:58.755201,0 days 00:00:00.181907,30,8,2,COMPLETE
51,51,0.6880129882421662,2023-04-08 13:11:58.756453,2023-04-08 13:11:58.920019,0 days 00:00:00.163566,42,2,2,COMPLETE
52,52,0.694639303273888,2023-04-08 13:11:58.922035,2023-04-08 13:11:59.089870,0 days 00:00:00.167835,50,2,2,COMPLETE
53,53,0.635067926938159,2023-04-08 13:11:59.091377,2023-04-08 13:11:59.365731,0 days 00:00:00.274354,48,5,2,COMPLETE
54,54,0.6557441896723973,2023-04-08 13:11:59.367758,2023-04-08 13:11:59.685341,0 days 00:00:00.317583,43,3,2,COMPLETE
55,55,0.6851458829588968,2023-04-08 13:11:59.687351,2023-04-08 13:11:59.868736,0 days 00:00:00.181385,37,2,2,COMPLETE
56,56,0.6618758386003776,2023-04-08 13:11:59.870285,2023-04-08 13:12:00.069276,0 days 00:00:00.198991,45,6,2,COMPLETE
57,57,0.6768165558403907,2023-04-08 13:12:00.071285,2023-04-08 13:12:00.259223,0 days 00:00:00.187938,60,4,2,COMPLETE
58,58,0.6644644285108915,2023-04-08 13:12:00.260730,2023-04-08 13:12:00.443662,0 days 00:00:00.182932,54,3,2,COMPLETE
59,59,0.6584382277532397,2023-04-08 13:12:00.445150,2023-04-08 13:12:01.385340,0 days 00:00:00.940190,32,7,1,COMPLETE
60,60,0.6348842806495294,2023-04-08 13:12:01.388857,2023-04-08 13:12:01.707963,0 days 00:00:00.319106,50,5,2,COMPLETE
61,61,0.7037863033527879,2023-04-08 13:12:01.709455,2023-04-08 13:12:01.874792,0 days 00:00:00.165337,44,2,2,COMPLETE
62,62,0.647236339167151,2023-04-08 13:12:01.876299,2023-04-08 13:12:02.058696,0 days 00:00:00.182397,40,3,2,COMPLETE
63,63,0.6835455356143285,2023-04-08 13:12:02.060706,2023-04-08 13:12:02.264743,0 days 00:00:00.204037,47,2,2,COMPLETE
64,64,0.6661612762442488,2023-04-08 13:12:02.266733,2023-04-08 13:12:02.992362,0 days 00:00:00.725629,45,4,2,COMPLETE
65,65,0.6355876578369617,2023-04-08 13:12:02.995872,2023-04-08 13:12:03.342619,0 days 00:00:00.346747,51,3,2,COMPLETE
66,66,0.7099957400164072,2023-04-08 13:12:03.344106,2023-04-08 13:12:03.546112,0 days 00:00:00.202006,41,2,2,COMPLETE
67,67,0.6383130521999044,2023-04-08 13:12:03.547620,2023-04-08 13:12:03.738585,0 days 00:00:00.190965,44,20,2,COMPLETE
68,68,0.6298396993254209,2023-04-08 13:12:03.739577,2023-04-08 13:12:03.915454,0 days 00:00:00.175877,41,5,2,COMPLETE
69,69,0.6487292224293708,2023-04-08 13:12:03.917464,2023-04-08 13:12:04.101897,0 days 00:00:00.184433,48,8,2,COMPLETE
70,70,0.6776213281006098,2023-04-08 13:12:04.103391,2023-04-08 13:12:04.286819,0 days 00:00:00.183428,57,6,2,COMPLETE
71,71,0.712411681626708,2023-04-08 13:12:04.288313,2023-04-08 13:12:04.466703,0 days 00:00:00.178390,37,2,2,COMPLETE
72,72,0.7185280587073173,2023-04-08 13:12:04.468712,2023-04-08 13:12:04.647116,0 days 00:00:00.178404,38,2,2,COMPLETE
73,73,0.683710140445919,2023-04-08 13:12:04.649129,2023-04-08 13:12:04.865210,0 days 00:00:00.216081,37,4,2,COMPLETE
74,74,0.7037863033527879,2023-04-08 13:12:04.866698,2023-04-08 13:12:05.192342,0 days 00:00:00.325644,28,2,2,COMPLETE
75,75,0.6143356751884484,2023-04-08 13:12:05.194836,2023-04-08 13:12:05.427512,0 days 00:00:00.232676,34,17,2,COMPLETE
76,76,0.6376548647418274,2023-04-08 13:12:05.429003,2023-04-08 13:12:05.622466,0 days 00:00:00.193463,37,3,2,COMPLETE
