,q1_oxf_ks_limping,q1_oxf_ks_work,q1_oxf_ks_standing,pjr_diag,q1_eq5d_usual_activities,q1_oxf_ks_stairs,q1_oxf_ks_washing,cc_lbp,cc_hd_meds,q1_oxf_ks_shopping,side,q1_oxf_ks_walking,q1_oxf_ks_conf,pers_sex,cc_hbp_meds,bmi,pers_age,q1_eq5d_discomfort,sch_edu,q1_oxf_ks_kneeling,q1_eq5d_persol_care,cc_livd,cc_ii_arth,q1_eq5d_anxiety,cc_diab,q1_eq5d_vas,cc_sd_meds,non_sch_edu,cc_dep,tjr_any,cc_lud_meds,cc_dep_meds,q1_oxf_ks_night_pain,cc_hd,hr_prev,cc_sd,cc_lud,hr_prev_side,q1_oxf_ks_transport,cc_rf,kr_prev,cc_nc,cc_hbp,cc_diab_meds,kr_prev_side
0,0.07972767,0.057573505,0.052006084,0.04919024,0.04448543,0.038558118,0.03793782,0.03129327,0.026628604,0.025574435,0.023709157,0.023381798,0.023311792,0.023224859,0.020759782,0.020481763,0.019401558,0.019101564,0.018403511,0.01825225,0.0177859,0.017684843,0.017593054,0.016564539,0.016290408,0.015735488,0.015635686,0.015580479,0.015561524,0.015408454,0.014985695,0.014982257,0.014892036,0.013962727,0.013181038,0.013135489,0.013125113,0.0129125435,0.0127909165,0.01275176,0.011921402,0.010670454,0.009261184,0.008782902,0.005800825
1,0.12249107,0.056878325,0.06286696,0.02837595,0.020318225,0.04414592,0.015931183,0.025856936,0.017317228,0.01693358,0.022644777,0.021921754,0.02337679,0.014415893,0.017544359,0.018416783,0.020268926,0.013928525,0.017910069,0.018270873,0.020151542,0.019965539,0.015717303,0.022450984,0.011644225,0.014860607,0.020854006,0.013391399,0.011005734,0.02201031,0.01659773,0.014495892,0.015297638,0.015451999,0.0105610965,0.015738232,0.011534033,0.008643877,0.020493723,0.015263317,0.023186393,0.019257369,0.011346984,0.019840652,0.0104253255
2,0.09420838,0.07082482,0.0790674,0.02271211,0.0480773,0.045369267,0.018372726,0.019135261,0.012673922,0.015595646,0.018295385,0.02617001,0.01583723,0.019328883,0.016236817,0.018294463,0.020276608,0.032482468,0.014750518,0.017467365,0.01841391,0.023333764,0.01237879,0.022290684,0.0,0.018386785,0.01513092,0.013719841,0.0117969345,0.014862875,0.01603668,0.016913088,0.019052785,0.0,0.018430421,0.013574831,0.01582764,0.0060564745,0.020857966,0.011828741,0.0185291,0.018489001,0.023265637,0.013254446,0.012392098
3,0.061472487,0.057006292,0.0616434,0.038010422,0.03321603,0.055150155,0.036793508,0.030216705,0.015797954,0.015427927,0.019815389,0.028228763,0.024711547,0.015172109,0.02056938,0.018109791,0.0220455,0.032685015,0.01916118,0.020714208,0.015811378,0.014527595,0.022331247,0.02013269,0.019554568,0.014504516,0.021786071,0.018368969,0.0145060755,0.0,0.021024255,0.02828736,0.012030689,0.017665995,0.013223174,0.0,0.011116616,0.011394812,0.022176193,0.022143638,0.013647763,0.011086876,0.0,0.0112183625,0.017513406
4,0.097525716,0.04544631,0.038201626,0.05094983,0.022773787,0.05307474,0.021753391,0.03579281,0.019334104,0.01812256,0.017998442,0.022114633,0.017260825,0.015697418,0.015712421,0.018404095,0.01928073,0.016164469,0.017985051,0.024197731,0.022472365,0.016546264,0.023392173,0.017395036,0.013846006,0.016570099,0.022656372,0.016998209,0.016033702,0.01898298,0.0198981,0.018693201,0.015387322,0.0,0.014145945,0.012812383,0.028619178,0.01466373,0.02064747,0.014484814,0.0,0.0094581265,0.02656868,0.019210288,0.012726895
5,0.09378983,0.079003,0.052980393,0.024969693,0.018440163,0.033439636,0.026659453,0.01803086,0.018317064,0.015574662,0.022148049,0.03287641,0.017928004,0.013019232,0.015154248,0.018261446,0.01924085,0.026794376,0.016065689,0.020492185,0.022904562,0.015272211,0.02042488,0.021802828,0.025627963,0.017189147,0.009583502,0.018836617,0.0,0.01982495,0.021654284,0.016299263,0.023678403,0.0071663456,0.021364205,0.014489259,0.013073436,0.012748566,0.0142076695,0.039327756,0.01298056,0.018506372,0.0,0.016448786,0.013403148
6,0.07123523,0.05577061,0.05549797,0.058063015,0.025775386,0.04526714,0.027678011,0.022303008,0.030247567,0.013686305,0.019693447,0.032313876,0.020228738,0.020568388,0.026413389,0.018328479,0.021953268,0.02711314,0.015180787,0.01315815,0.015780013,0.012878903,0.014581315,0.021665867,0.0,0.019866878,0.01546987,0.0176042,0.02909108,0.0,0.016057558,0.012505326,0.017952261,0.016942117,0.013757559,0.020585712,0.021881217,0.015300141,0.017560348,0.010737662,0.012259983,0.009650119,0.007579079,0.026015572,0.013801337
7,0.10783019,0.061721236,0.048250392,0.025593266,0.03327722,0.028637534,0.017872674,0.024534317,0.014213183,0.02275809,0.018078689,0.023543011,0.015478017,0.013895358,0.016832257,0.018318396,0.021385456,0.026145125,0.021038432,0.030663151,0.02121449,0.03362911,0.013755245,0.020020444,0.017558876,0.017679041,0.01788081,0.017924417,0.031908732,0.0,0.023394719,0.023214506,0.015236389,0.014026256,0.013496351,0.0153496945,0.0,0.012841835,0.012990993,0.0064895675,0.013117656,0.017233688,0.025730224,0.011446178,0.013794762
8,0.06730925,0.047443453,0.052668817,0.02794,0.037151556,0.055718154,0.014090078,0.03190836,0.025407657,0.016257985,0.017669225,0.026350858,0.01719178,0.017989859,0.010364087,0.020013323,0.02113973,0.021951016,0.019148774,0.02364246,0.017693158,0.020766815,0.02923223,0.019920368,0.012624127,0.017434241,0.010512666,0.015876638,0.018291807,0.017295,0.024877613,0.011792183,0.022026507,0.023201257,0.018308315,0.023334296,0.016427169,0.0,0.019803047,0.016100658,0.0,0.01568321,0.017249282,0.01769452,0.022498526
9,0.07411739,0.03954133,0.059379414,0.028473224,0.03427236,0.039553136,0.024717327,0.029549414,0.019399269,0.014908568,0.017411947,0.021920739,0.016865026,0.014793616,0.01116936,0.018683663,0.019988522,0.0212986,0.022021327,0.022807019,0.015963264,0.014608048,0.014558977,0.026494995,0.00803319,0.017141232,0.020015877,0.017053718,0.024956033,0.015959235,0.016600829,0.0122611215,0.018209742,0.015916564,0.022673754,0.016029913,0.019292347,0.013776048,0.01308873,0.03230661,0.02536098,0.0,0.031809747,0.018279774,0.018737994
