,number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
19,19,0.5832273684667785,2023-04-11 16:45:57.164298,2023-04-11 16:46:33.159430,0 days 00:00:35.995132,0.0001546763627926996,dart,0.7263122330260239,0.018877437502790955,1.404664727421089e-08,lossguide,2.8471816850990838e-06,8,10,tree,0.027073157548260052,uniform,0.0006445904341982759,0.9056750936120302,COMPLETE
20,20,0.6021655455846425,2023-04-11 16:46:33.162431,2023-04-11 16:47:09.181316,0 days 00:00:36.018885,0.0064687056940842735,dart,0.9005806249220119,0.005818637633192723,1.2772149363035736e-06,lossguide,0.0003353222753493477,6,9,forest,0.000839764194841074,weighted,0.8861826589365343,0.7947873848210363,COMPLETE
21,21,0.618950538326449,2023-04-11 16:47:09.184318,2023-04-11 16:47:41.216886,0 days 00:00:32.032568,1.4075132689544939e-05,dart,0.7371746528725666,0.9593368247738921,1.3115633550179365e-05,lossguide,0.6143304929189014,5,10,forest,0.6535274604772824,weighted,0.7150010118893988,0.9579211404260741,COMPLETE
22,22,0.6023803764930451,2023-04-11 16:47:41.219886,2023-04-11 16:48:14.387542,0 days 00:00:33.167656,3.248124526073417e-05,dart,0.7053632085157204,0.15122474779548833,2.4130162741859493e-05,lossguide,0.07869160716171751,5,10,forest,0.0947669874201012,weighted,0.08696674703952614,0.9825558120806792,COMPLETE
23,23,0.6015574258418381,2023-04-11 16:48:14.390543,2023-04-11 16:48:47.371185,0 days 00:00:32.980642,2.4527184352918675e-06,dart,0.8197929860404032,0.8049928617576747,2.9876129310398504e-06,lossguide,0.0009347820401443012,5,9,forest,0.11371743430773436,weighted,0.07723356572227565,0.9109125140023973,COMPLETE
24,24,0.5783736864105727,2023-04-11 16:48:47.373186,2023-04-11 16:49:03.946513,0 days 00:00:16.573327,0.00024682664611042597,dart,0.6086249460454082,0.11675230073688186,5.1522287090481703e-05,lossguide,5.4792244599103436e-05,8,7,forest,0.9171149454640672,weighted,0.12038580575609766,0.7388010926986752,COMPLETE
25,25,0.6078703465678659,2023-04-11 16:49:03.949514,2023-04-11 16:49:33.656894,0 days 00:00:29.707380,1.170899678683375e-06,dart,0.9056865857745724,0.024047559730722375,8.796394779234858e-06,lossguide,0.0316978232303195,9,10,forest,0.058341447805088965,weighted,0.7476798589178563,0.8372940687998974,COMPLETE
26,26,0.6063080510845605,2023-04-11 16:49:33.659895,2023-04-11 16:50:00.688061,0 days 00:00:27.028166,4.909405395334426e-05,dart,0.7657809276454073,0.2919530378656813,4.855296979630732e-07,lossguide,0.8547092317168251,7,9,forest,0.11773290037680885,weighted,0.08713677928150751,0.9242451199093193,COMPLETE
27,27,0.6165830898142342,2023-04-11 16:50:00.691061,2023-04-11 16:50:30.501449,0 days 00:00:29.810388,1.2615563830163333e-05,dart,0.8575244272472001,0.04154380336134135,0.00022119529650472186,lossguide,0.0001281042957285008,6,7,tree,0.005166413128607436,uniform,0.002582658421863126,0.9919824440697381,COMPLETE
28,28,0.6051463433764974,2023-04-11 16:50:30.504450,2023-04-11 16:50:55.825479,0 days 00:00:25.321029,0.0003220773609603292,dart,0.946748910186497,0.1879460555635617,1.9800617602514984e-05,lossguide,1.973960881546584e-05,5,8,forest,0.17403564188596377,weighted,0.03377958221610472,0.8596703093149607,COMPLETE
