,number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
89,89,0.6183390671517971,2023-04-11 16:56:59.236323,2023-04-11 16:57:02.614593,0 days 00:00:03.378270,1.3403029591534027e-06,gbtree,0.7862380165429053,0.29159214700901487,0.00026899014689205796,depthwise,4.470321727337764e-08,4,8,,,,,0.7412645041985895,COMPLETE
90,90,0.6228130109136905,2023-04-11 16:57:02.618595,2023-04-11 16:57:05.248863,0 days 00:00:02.630268,5.67999921339647e-07,gbtree,0.8165093970700924,0.1390803249462923,0.0006156158592855734,depthwise,2.0622364816359703e-07,2,5,,,,,0.7882958244494751,COMPLETE
91,91,0.6154824866857889,2023-04-11 16:57:05.252864,2023-04-11 16:57:08.814434,0 days 00:00:03.561570,1.0154143868897985e-06,gbtree,0.8325180356878829,0.06602551419423396,0.005180985080788886,depthwise,1.4477788717440706e-07,4,6,,,,,0.6606189825037051,COMPLETE
92,92,0.6235103011989933,2023-04-11 16:57:08.818436,2023-04-11 16:57:12.444234,0 days 00:00:03.625798,8.78716753237462e-07,gbtree,0.87628850583282,0.36659470668647126,0.0001645174886864763,depthwise,6.710586702845043e-08,3,6,,,,,0.6741147225334793,COMPLETE
93,93,0.6064383987735639,2023-04-11 16:57:12.449235,2023-04-11 16:57:15.618033,0 days 00:00:03.168798,2.4805147597513795e-07,gbtree,0.8775520653454776,0.3869222677724399,0.00014760153230904607,depthwise,6.066568186586261e-08,3,6,,,,,0.6835947234904273,COMPLETE
94,94,0.6170144557210658,2023-04-11 16:57:15.622035,2023-04-11 16:57:18.658780,0 days 00:00:03.036745,1.8394621839969955e-06,gbtree,0.9113471881956889,0.20599611839407259,0.0003881342670776816,depthwise,2.7387348725883487e-08,3,7,,,,,0.6482371602789492,COMPLETE
95,95,0.6079695290309816,2023-04-11 16:57:18.662782,2023-04-11 16:57:21.268230,0 days 00:00:02.605448,4.886251699732342e-07,gbtree,0.8523572966352767,0.9905433140415011,0.0016511248278463643,depthwise,9.454322003324956e-08,2,7,,,,,0.7127585504578309,COMPLETE
96,96,0.6206093641396783,2023-04-11 16:57:21.273231,2023-04-11 16:57:24.669134,0 days 00:00:03.395903,1.3935207631290665e-07,gbtree,0.7891440534495471,0.37104769394552856,0.00017118623575076376,depthwise,1.417545132169375e-08,3,6,,,,,0.7466790469059464,COMPLETE
97,97,0.6148598691504643,2023-04-11 16:57:24.673135,2023-04-11 16:57:27.778386,0 days 00:00:03.105251,3.4660082065719037e-07,gbtree,0.762728587412471,0.7024985432679766,0.00027527813337132977,depthwise,3.738467129865579e-08,3,5,,,,,0.7220314511061778,COMPLETE
98,98,0.6309333314049619,2023-04-11 16:57:27.782386,2023-04-11 16:57:30.548693,0 days 00:00:02.766307,7.549547969641243e-07,gbtree,0.813136096313624,0.20992418349293265,0.0005245302485386222,depthwise,4.3142691259505993e-07,2,7,,,,,0.6738654478509913,COMPLETE
99,99,0.620367365132703,2023-04-11 16:57:30.552694,2023-04-11 16:57:33.912052,0 days 00:00:03.359358,6.471961915009813e-07,gbtree,0.7231971389647085,0.11121420771932385,0.002567475383256345,depthwise,4.1596400666007356e-07,2,8,,,,,0.587403978983419,COMPLETE
