,number,value,datetime_start,datetime_complete,duration,params_reg_param,state
48,48,0.600135975925367,2023-04-11 15:44:49.272437,2023-04-11 15:44:49.764477,0 days 00:00:00.492040,0,COMPLETE
49,49,0.5886882495875616,2023-04-11 15:44:49.767475,2023-04-11 15:44:50.433530,0 days 00:00:00.666055,0,COMPLETE
50,50,0.6149374294051546,2023-04-11 15:44:50.436529,2023-04-11 15:44:50.878564,0 days 00:00:00.442035,0,COMPLETE
51,51,0.6064788465291182,2023-04-11 15:44:50.884567,2023-04-11 15:44:51.292598,0 days 00:00:00.408031,0,COMPLETE
52,52,0.6060187310553513,2023-04-11 15:44:51.296598,2023-04-11 15:44:51.704631,0 days 00:00:00.408033,0,COMPLETE
53,53,0.5863257757246787,2023-04-11 15:44:51.707630,2023-04-11 15:44:52.236676,0 days 00:00:00.529046,0,COMPLETE
54,54,0.6043573432764946,2023-04-11 15:44:52.239675,2023-04-11 15:44:53.073409,0 days 00:00:00.833734,0,COMPLETE
55,55,0.5895939278766217,2023-04-11 15:44:53.079409,2023-04-11 15:44:53.932624,0 days 00:00:00.853215,0,COMPLETE
56,56,0.5877220910525196,2023-04-11 15:44:53.935621,2023-04-11 15:44:54.467665,0 days 00:00:00.532044,0,COMPLETE
57,57,0.6063974921689054,2023-04-11 15:44:54.471664,2023-04-11 15:44:54.899052,0 days 00:00:00.427388,0,COMPLETE
58,58,0.5982730184919002,2023-04-11 15:44:54.901052,2023-04-11 15:44:55.661671,0 days 00:00:00.760619,0,COMPLETE
59,59,0.6163245018423591,2023-04-11 15:44:55.664672,2023-04-11 15:44:56.389730,0 days 00:00:00.725058,0,COMPLETE
60,60,0.6024203365541536,2023-04-11 15:44:56.393732,2023-04-11 15:44:56.869766,0 days 00:00:00.476034,0,COMPLETE
61,61,0.600135975925367,2023-04-11 15:44:56.872770,2023-04-11 15:44:57.223809,0 days 00:00:00.351039,0,COMPLETE
62,62,0.5886882495875616,2023-04-11 15:44:57.225813,2023-04-11 15:44:57.712839,0 days 00:00:00.487026,0,COMPLETE
63,63,0.6149374294051546,2023-04-11 15:44:57.716838,2023-04-11 15:44:58.404427,0 days 00:00:00.687589,0,COMPLETE
64,64,0.6064788465291182,2023-04-11 15:44:58.407427,2023-04-11 15:44:58.978470,0 days 00:00:00.571043,0,COMPLETE
65,65,0.6060187310553513,2023-04-11 15:44:58.980471,2023-04-11 15:44:59.660527,0 days 00:00:00.680056,0,COMPLETE
66,66,0.5863257757246787,2023-04-11 15:44:59.664529,2023-04-11 15:45:00.277574,0 days 00:00:00.613045,0,COMPLETE
67,67,0.6043573432764946,2023-04-11 15:45:00.281577,2023-04-11 15:45:01.128645,0 days 00:00:00.847068,0,COMPLETE
68,68,0.5895939278766217,2023-04-11 15:45:01.132645,2023-04-11 15:45:01.916710,0 days 00:00:00.784065,0,COMPLETE
69,69,0.5877220910525196,2023-04-11 15:45:01.920708,2023-04-11 15:45:02.465750,0 days 00:00:00.545042,0,COMPLETE
70,70,0.6063974921689054,2023-04-11 15:45:02.469752,2023-04-11 15:45:02.911785,0 days 00:00:00.442033,0,COMPLETE
71,71,0.5982730184919002,2023-04-11 15:45:02.914787,2023-04-11 15:45:03.270814,0 days 00:00:00.356027,0,COMPLETE
72,72,0.6163245018423591,2023-04-11 15:45:03.272815,2023-04-11 15:45:03.613460,0 days 00:00:00.340645,0,COMPLETE
73,73,0.6024203365541536,2023-04-11 15:45:03.614447,2023-04-11 15:45:03.983158,0 days 00:00:00.368711,0,COMPLETE
74,74,0.600135975925367,2023-04-11 15:45:03.986144,2023-04-11 15:45:04.328470,0 days 00:00:00.342326,0,COMPLETE
75,75,0.5886882495875616,2023-04-11 15:45:04.329459,2023-04-11 15:45:04.741465,0 days 00:00:00.412006,0,COMPLETE
76,76,0.6149374294051546,2023-04-11 15:45:04.744463,2023-04-11 15:45:05.124472,0 days 00:00:00.380009,0,COMPLETE
77,77,0.6064788465291182,2023-04-11 15:45:05.126474,2023-04-11 15:45:05.509435,0 days 00:00:00.382961,0,COMPLETE
78,78,0.6060187310553513,2023-04-11 15:45:05.510435,2023-04-11 15:45:05.897480,0 days 00:00:00.387045,0,COMPLETE
79,79,0.5,2023-04-11 15:45:05.900468,2023-04-11 15:45:06.283360,0 days 00:00:00.382892,1,COMPLETE
80,80,0.6043573432764946,2023-04-11 15:45:06.284344,2023-04-11 15:45:06.670459,0 days 00:00:00.386115,0,COMPLETE
81,81,0.5895939278766217,2023-04-11 15:45:06.671472,2023-04-11 15:45:07.063431,0 days 00:00:00.391959,0,COMPLETE
82,82,0.5877220910525196,2023-04-11 15:45:07.064447,2023-04-11 15:45:07.472474,0 days 00:00:00.408027,0,COMPLETE
83,83,0.6063974921689054,2023-04-11 15:45:07.474487,2023-04-11 15:45:07.893475,0 days 00:00:00.418988,0,COMPLETE
84,84,0.5982730184919002,2023-04-11 15:45:07.895487,2023-04-11 15:45:08.284088,0 days 00:00:00.388601,0,COMPLETE
85,85,0.6163245018423591,2023-04-11 15:45:08.286086,2023-04-11 15:45:08.683484,0 days 00:00:00.397398,0,COMPLETE
86,86,0.6024203365541536,2023-04-11 15:45:08.685482,2023-04-11 15:45:09.050465,0 days 00:00:00.364983,0,COMPLETE
87,87,0.600135975925367,2023-04-11 15:45:09.052451,2023-04-11 15:45:09.472425,0 days 00:00:00.419974,0,COMPLETE
88,88,0.5886882495875616,2023-04-11 15:45:09.474445,2023-04-11 15:45:09.832457,0 days 00:00:00.358012,0,COMPLETE
89,89,0.6149374294051546,2023-04-11 15:45:09.834454,2023-04-11 15:45:10.240450,0 days 00:00:00.405996,0,COMPLETE
90,90,0.6064788465291182,2023-04-11 15:45:10.242469,2023-04-11 15:45:10.676415,0 days 00:00:00.433946,0,COMPLETE
91,91,0.6060187310553513,2023-04-11 15:45:10.678413,2023-04-11 15:45:11.074461,0 days 00:00:00.396048,0,COMPLETE
92,92,0.5863257757246787,2023-04-11 15:45:11.076463,2023-04-11 15:45:11.484453,0 days 00:00:00.407990,0,COMPLETE
93,93,0.6043573432764946,2023-04-11 15:45:11.486434,2023-04-11 15:45:11.846454,0 days 00:00:00.360020,0,COMPLETE
94,94,0.5895939278766217,2023-04-11 15:45:11.848454,2023-04-11 15:45:12.276423,0 days 00:00:00.427969,0,COMPLETE
95,95,0.5877220910525196,2023-04-11 15:45:12.277435,2023-04-11 15:45:12.728485,0 days 00:00:00.451050,0,COMPLETE
96,96,0.6063974921689054,2023-04-11 15:45:12.729484,2023-04-11 15:45:13.100403,0 days 00:00:00.370919,0,COMPLETE
97,97,0.5982730184919002,2023-04-11 15:45:13.102404,2023-04-11 15:45:13.465987,0 days 00:00:00.363583,0,COMPLETE
98,98,0.6163245018423591,2023-04-11 15:45:13.467987,2023-04-11 15:45:13.889457,0 days 00:00:00.421470,0,COMPLETE
99,99,0.6024203365541536,2023-04-11 15:45:13.891478,2023-04-11 15:45:14.311477,0 days 00:00:00.419999,0,COMPLETE
