,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_max_leaf_nodes,params_n_estimators,state
36,36,0.6651014395196507,2023-04-11 15:30:30.375064,2023-04-11 15:30:37.434651,0 days 00:00:07.059587,True,9.839645719419972,log_loss,10,23,6,105,COMPLETE
37,37,0.706282808462003,2023-04-11 15:30:37.436649,2023-04-11 15:30:52.404324,0 days 00:00:14.967675,True,8.787132036020648,gini,23,18,15,223,COMPLETE
38,38,0.6910953471990895,2023-04-11 15:30:52.406305,2023-04-11 15:31:07.407801,0 days 00:00:15.001496,True,8.324844967856013,log_loss,14,19,15,227,COMPLETE
39,39,0.6507575870938511,2023-04-11 15:31:07.410802,2023-04-11 15:31:26.766362,0 days 00:00:19.355560,False,12.188511589129714,gini,19,22,13,259,COMPLETE
40,40,0.6803838344583817,2023-04-11 15:31:26.769364,2023-04-11 15:31:39.464049,0 days 00:00:12.694685,True,10.498565000490196,entropy,11,7,14,286,COMPLETE
41,41,0.6870681510026052,2023-04-11 15:31:39.466612,2023-04-11 15:31:50.522012,0 days 00:00:11.055400,True,9.002874427703068,gini,23,17,16,180,COMPLETE
42,42,0.7119790869485414,2023-04-11 15:31:50.524012,2023-04-11 15:32:03.289312,0 days 00:00:12.765300,True,7.187987921948713,gini,27,14,19,213,COMPLETE
43,43,0.7015963553686517,2023-04-11 15:32:03.292331,2023-04-11 15:32:16.176356,0 days 00:00:12.884025,True,7.177113281671277,gini,27,12,19,214,COMPLETE
44,44,0.6907466481534816,2023-04-11 15:32:16.178355,2023-04-11 15:32:30.143544,0 days 00:00:13.965189,True,6.660673907500681,gini,4,21,19,247,COMPLETE
45,45,0.695647869873466,2023-04-11 15:32:30.144545,2023-04-11 15:32:42.756582,0 days 00:00:12.612037,False,7.772042883576107,gini,30,10,19,200,COMPLETE
46,46,0.693527985630954,2023-04-11 15:32:42.758583,2023-04-11 15:32:55.231004,0 days 00:00:12.472421,True,5.848260073695966,entropy,26,18,15,219,COMPLETE
47,47,0.6956525247272148,2023-04-11 15:32:55.233003,2023-04-11 15:32:58.223263,0 days 00:00:02.990260,False,6.380914057990796,gini,29,14,17,55,COMPLETE
48,48,0.6437048119102637,2023-04-11 15:32:58.226246,2023-04-11 15:33:33.836217,0 days 00:00:35.609971,False,13.663370558999272,entropy,18,25,18,369,COMPLETE
49,49,0.661377414803156,2023-04-11 15:33:33.838218,2023-04-11 15:33:41.754072,0 days 00:00:07.915854,True,10.31186165745492,log_loss,21,8,11,176,COMPLETE
50,50,0.6984014446337179,2023-04-11 15:33:41.757074,2023-04-11 15:33:59.570322,0 days 00:00:17.813248,False,8.876474874694338,gini,26,18,16,247,COMPLETE
51,51,0.7024777185976349,2023-04-11 15:33:59.573305,2023-04-11 15:34:10.969377,0 days 00:00:11.396072,True,7.1335840282764345,gini,27,12,19,219,COMPLETE
52,52,0.6843693699236995,2023-04-11 15:34:10.972377,2023-04-11 15:34:25.689265,0 days 00:00:14.716888,True,7.394268968043639,gini,24,13,20,269,COMPLETE
53,53,0.7070661177275748,2023-04-11 15:34:25.691267,2023-04-11 15:34:37.386285,0 days 00:00:11.695018,True,8.118094143703301,gini,30,11,19,230,COMPLETE
54,54,0.6871134641859167,2023-04-11 15:34:37.389281,2023-04-11 15:34:49.738252,0 days 00:00:12.348971,True,6.873855564634839,gini,31,11,19,229,COMPLETE
55,55,0.7169975120086589,2023-04-11 15:34:49.740251,2023-04-11 15:35:06.734437,0 days 00:00:16.994186,True,7.981091335981691,gini,30,9,20,244,COMPLETE
56,56,0.705272761953822,2023-04-11 15:35:06.736438,2023-04-11 15:35:20.001961,0 days 00:00:13.265523,True,8.092253741715387,gini,32,6,20,296,COMPLETE
57,57,0.6983411727918093,2023-04-11 15:35:20.003959,2023-04-11 15:35:33.796018,0 days 00:00:13.792059,True,7.704019560197462,gini,32,5,20,309,COMPLETE
58,58,0.6855434303836703,2023-04-11 15:35:33.798014,2023-04-11 15:35:45.245169,0 days 00:00:11.447155,True,5.904485308209874,gini,30,3,20,293,COMPLETE
59,59,0.7009718399625074,2023-04-11 15:35:45.247180,2023-04-11 15:36:02.226513,0 days 00:00:16.979333,True,8.12177224202124,gini,30,8,20,350,COMPLETE
60,60,0.6802110770749956,2023-04-11 15:36:02.228495,2023-04-11 15:36:16.326545,0 days 00:00:14.098050,True,9.39351472296227,gini,29,6,19,311,COMPLETE
