,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,state
29,29,0.6692475942373705,2023-04-11 15:20:30.800340,2023-04-11 15:20:33.508605,0 days 00:00:02.708265,3.255408255950816,3.348929157045033,0.003008197509296037,sigmoid,COMPLETE
30,30,0.5956687500132972,2023-04-11 15:20:33.510607,2023-04-11 15:20:44.535490,0 days 00:00:11.024883,0.15719578151357846,8.231205277755217,79.90674527128193,poly,COMPLETE
31,31,0.6519449007891002,2023-04-11 15:20:44.537490,2023-04-11 15:20:47.903784,0 days 00:00:03.366294,7.102594790126957,7.535872626738243,0.00046378639265857156,sigmoid,COMPLETE
32,32,0.715626499245406,2023-04-11 15:20:47.905782,2023-04-11 15:20:51.070053,0 days 00:00:03.164271,13.33409554579792,5.667583142661401,0.0019447586825862282,sigmoid,COMPLETE
33,33,0.6958813352118877,2023-04-11 15:20:51.072039,2023-04-11 15:20:53.724249,0 days 00:00:02.652210,27.269776628743873,5.008436146346789,0.005688585023003004,sigmoid,COMPLETE
34,34,0.7059105179696046,2023-04-11 15:20:53.726248,2023-04-11 15:20:56.911503,0 days 00:00:03.185255,15.411883931475623,5.617996589034441,0.0003514269997022349,sigmoid,COMPLETE
35,35,0.700457370477425,2023-04-11 15:20:56.913503,2023-04-11 15:20:59.835407,0 days 00:00:02.921904,20.345458403074556,5.885782144232493,0.00040055046313842475,sigmoid,COMPLETE
36,36,0.7117937102549725,2023-04-11 15:20:59.838407,2023-04-11 15:21:02.496622,0 days 00:00:02.658215,29.759246342434146,5.559371935010867,0.0003403453206185702,sigmoid,COMPLETE
37,37,0.667538938224334,2023-04-11 15:21:02.498623,2023-04-11 15:21:05.847689,0 days 00:00:03.349066,40.30125124618426,3.1226307322511753,0.00036424858438444894,rbf,COMPLETE
38,38,0.5,2023-04-11 15:21:05.850689,2023-04-11 15:21:08.719438,0 days 00:00:02.868749,35.22681379148894,5.732317900144905,0.00021873715401875285,poly,COMPLETE
39,39,0.656038425175583,2023-04-11 15:21:08.721438,2023-04-11 15:21:13.556826,0 days 00:00:04.835388,21.311925654587736,4.019671353925972,7.890228845506307e-05,rbf,COMPLETE
40,40,0.5,2023-04-11 15:21:13.559828,2023-04-11 15:21:16.317066,0 days 00:00:02.757238,23.485452530980474,2.247649545699346,0.00013782808342383083,sigmoid,COMPLETE
41,41,0.6963011908299817,2023-04-11 15:21:16.319051,2023-04-11 15:21:20.175868,0 days 00:00:03.856817,42.26059412321998,5.479901971813778,0.0004970708917611858,sigmoid,COMPLETE
42,42,0.7000760617659205,2023-04-11 15:21:20.179868,2023-04-11 15:21:23.762662,0 days 00:00:03.582794,46.48682676442412,5.731371819678045,0.00036589043267150464,sigmoid,COMPLETE
43,43,0.6633187179520995,2023-04-11 15:21:23.765663,2023-04-11 15:21:26.998921,0 days 00:00:03.233258,58.93538334627674,4.214839820093921,5.221357727457501e-05,sigmoid,COMPLETE
44,44,0.6958998810171086,2023-04-11 15:21:27.000921,2023-04-11 15:21:30.389198,0 days 00:00:03.388277,85.53906820544434,5.98536617849817,0.0002765702327327594,sigmoid,COMPLETE
45,45,0.5,2023-04-11 15:21:30.393193,2023-04-11 15:21:33.221418,0 days 00:00:02.828225,3.9151663199740114,3.870962240973263,0.0016721347365224613,poly,COMPLETE
46,46,0.6884226674950921,2023-04-11 15:21:33.224420,2023-04-11 15:21:37.776721,0 days 00:00:04.552301,14.538554963917262,5.42378988002146,0.00041139695195976207,rbf,COMPLETE
47,47,0.7202577335159238,2023-04-11 15:21:37.779702,2023-04-11 15:21:40.906436,0 days 00:00:03.126734,46.74401881514712,4.679846911573694,0.0007559000458962862,sigmoid,COMPLETE
