,number,value,datetime_start,datetime_complete,duration,params_leaf_size,params_n_neighbors,params_p,state
44,44,0.5918542140093781,2023-04-11 15:17:44.615741,2023-04-11 15:17:45.234298,0 days 00:00:00.618557,21,3,1,COMPLETE
45,45,0.5590226861952978,2023-04-11 15:17:45.236296,2023-04-11 15:17:45.897349,0 days 00:00:00.661053,11,26,1,COMPLETE
46,46,0.5942722524163682,2023-04-11 15:17:45.900351,2023-04-11 15:17:46.521399,0 days 00:00:00.621048,28,6,1,COMPLETE
47,47,0.5620443085990277,2023-04-11 15:17:46.524400,2023-04-11 15:17:47.190453,0 days 00:00:00.666053,43,20,1,COMPLETE
48,48,0.5871579472808574,2023-04-11 15:17:47.192453,2023-04-11 15:17:47.743497,0 days 00:00:00.551044,51,2,2,COMPLETE
49,49,0.5726355111458694,2023-04-11 15:17:47.745498,2023-04-11 15:17:48.366547,0 days 00:00:00.621049,55,14,1,COMPLETE
50,50,0.5698231924087775,2023-04-11 15:17:48.368547,2023-04-11 15:17:49.011598,0 days 00:00:00.643051,60,11,1,COMPLETE
51,51,0.6061728027194482,2023-04-11 15:17:49.014600,2023-04-11 15:17:49.623648,0 days 00:00:00.609048,32,4,1,COMPLETE
52,52,0.5755641681640636,2023-04-11 15:17:49.626648,2023-04-11 15:17:50.245698,0 days 00:00:00.619050,35,5,1,COMPLETE
53,53,0.5660908922362384,2023-04-11 15:17:50.248698,2023-04-11 15:17:50.882749,0 days 00:00:00.634051,31,3,1,COMPLETE
54,54,0.5866551142350519,2023-04-11 15:17:50.884750,2023-04-11 15:17:51.535801,0 days 00:00:00.651051,39,8,1,COMPLETE
55,55,0.5698300502306206,2023-04-11 15:17:51.537801,2023-04-11 15:17:52.237857,0 days 00:00:00.700056,25,3,1,COMPLETE
56,56,0.5954535782179625,2023-04-11 15:17:52.240858,2023-04-11 15:17:52.948916,0 days 00:00:00.708058,29,6,1,COMPLETE
57,57,0.6149505670931631,2023-04-11 15:17:52.951916,2023-04-11 15:17:53.631474,0 days 00:00:00.679558,36,2,1,COMPLETE
58,58,0.6029994191374436,2023-04-11 15:17:53.635476,2023-04-11 15:17:54.343531,0 days 00:00:00.708055,47,2,1,COMPLETE
59,59,0.5740468515710272,2023-04-11 15:17:54.346531,2023-04-11 15:17:55.065589,0 days 00:00:00.719058,50,5,1,COMPLETE
60,60,0.5991211085902541,2023-04-11 15:17:55.067590,2023-04-11 15:17:55.787647,0 days 00:00:00.720057,37,2,1,COMPLETE
61,61,0.5959625196383845,2023-04-11 15:17:55.789647,2023-04-11 15:17:56.604232,0 days 00:00:00.814585,33,4,1,COMPLETE
62,62,0.6147843289390575,2023-04-11 15:17:56.607233,2023-04-11 15:17:57.311288,0 days 00:00:00.704055,35,4,1,COMPLETE
63,63,0.5743599987107137,2023-04-11 15:17:57.314289,2023-04-11 15:17:58.025693,0 days 00:00:00.711404,35,3,1,COMPLETE
64,64,0.5955867375318495,2023-04-11 15:17:58.028693,2023-04-11 15:17:58.769289,0 days 00:00:00.740596,43,6,1,COMPLETE
65,65,0.5885205408348554,2023-04-11 15:17:58.772288,2023-04-11 15:17:59.484346,0 days 00:00:00.712058,39,3,1,COMPLETE
66,66,0.5714124593175793,2023-04-11 15:17:59.487345,2023-04-11 15:18:00.209402,0 days 00:00:00.722057,41,8,1,COMPLETE
67,67,0.5687933158616297,2023-04-11 15:18:00.212403,2023-04-11 15:18:00.931460,0 days 00:00:00.719057,55,5,1,COMPLETE
68,68,0.5964702203601727,2023-04-11 15:18:00.934462,2023-04-11 15:18:01.640517,0 days 00:00:00.706055,44,2,1,COMPLETE
69,69,0.537380028282447,2023-04-11 15:18:01.643518,2023-04-11 15:18:02.401578,0 days 00:00:00.758060,2,25,1,COMPLETE
70,70,0.6156676521355579,2023-04-11 15:18:02.404579,2023-04-11 15:18:03.115635,0 days 00:00:00.711056,25,4,1,COMPLETE
71,71,0.6039636134038456,2023-04-11 15:18:03.118636,2023-04-11 15:18:03.816692,0 days 00:00:00.698056,24,4,1,COMPLETE
72,72,0.5942722524163682,2023-04-11 15:18:03.819693,2023-04-11 15:18:04.589754,0 days 00:00:00.770061,16,6,1,COMPLETE
73,73,0.5991211085902541,2023-04-11 15:18:04.591754,2023-04-11 15:18:05.343814,0 days 00:00:00.752060,30,2,1,COMPLETE
74,74,0.5959625196383845,2023-04-11 15:18:05.346816,2023-04-11 15:18:06.067873,0 days 00:00:00.721057,23,4,1,COMPLETE
