,number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,state
37,37,0.6687950113818301,2023-04-11 15:17:03.196648,2023-04-11 15:17:03.491671,0 days 00:00:00.295023,5.7260629700801395,13,46,100,48,best,COMPLETE
38,38,0.6859145146681705,2023-04-11 15:17:03.492652,2023-04-11 15:17:03.723672,0 days 00:00:00.231020,4.143506056648175,7,95,46,84,random,COMPLETE
39,39,0.5870590316845922,2023-04-11 15:17:03.725671,2023-04-11 15:17:04.007696,0 days 00:00:00.282025,1.036751903586215,5,94,45,97,random,COMPLETE
40,40,0.6835714476187672,2023-04-11 15:17:04.009693,2023-04-11 15:17:04.299718,0 days 00:00:00.290025,3.9428150680964054,8,97,34,86,random,COMPLETE
41,41,0.668057878635663,2023-04-11 15:17:04.302737,2023-04-11 15:17:04.595741,0 days 00:00:00.293004,4.1166636599945985,8,98,31,87,random,COMPLETE
42,42,0.6423101681717516,2023-04-11 15:17:04.598759,2023-04-11 15:17:04.834779,0 days 00:00:00.236020,2.4802682005179975,12,86,38,84,random,COMPLETE
43,43,0.6638325956166792,2023-04-11 15:17:04.836778,2023-04-11 15:17:05.097780,0 days 00:00:00.261002,4.1447958314757996,4,99,20,94,random,COMPLETE
44,44,0.6348790317735646,2023-04-11 15:17:05.100784,2023-04-11 15:17:05.321817,0 days 00:00:00.221033,2.279369641603946,20,93,44,100,random,COMPLETE
45,45,0.6754895281538301,2023-04-11 15:17:05.323804,2023-04-11 15:17:05.497831,0 days 00:00:00.174027,3.2538287234629695,9,84,50,81,random,COMPLETE
46,46,0.653237840868907,2023-04-11 15:17:05.498814,2023-04-11 15:17:05.688848,0 days 00:00:00.190034,6.5080581842097125,15,76,23,91,random,COMPLETE
47,47,0.6886817057105474,2023-04-11 15:17:05.689848,2023-04-11 15:17:05.863869,0 days 00:00:00.174021,4.628031656848164,2,95,37,2,random,COMPLETE
48,48,0.684106136048369,2023-04-11 15:17:05.865843,2023-04-11 15:17:06.066877,0 days 00:00:00.201034,4.42802001706015,2,95,37,2,random,COMPLETE
49,49,0.6762540281540608,2023-04-11 15:17:06.068877,2023-04-11 15:17:06.232890,0 days 00:00:00.164013,4.144202029307535,2,95,37,3,random,COMPLETE
50,50,0.6454301890408486,2023-04-11 15:17:06.235876,2023-04-11 15:17:06.485912,0 days 00:00:00.250036,8.8350827108521,6,89,11,3,random,COMPLETE
51,51,0.6689529006867693,2023-04-11 15:17:06.487894,2023-04-11 15:17:06.757917,0 days 00:00:00.270023,5.643077191839908,9,100,34,15,random,COMPLETE
52,52,0.697879982986501,2023-04-11 15:17:06.760915,2023-04-11 15:17:07.000953,0 days 00:00:00.240038,4.820779769850101,2,82,48,6,random,COMPLETE
53,53,0.679493847930501,2023-04-11 15:17:07.002942,2023-04-11 15:17:07.329959,0 days 00:00:00.327017,4.625892616074146,6,96,47,8,random,COMPLETE
54,54,0.5341719394520189,2023-04-11 15:17:07.332961,2023-04-11 15:17:07.545999,0 days 00:00:00.213038,1.5617069939222938,2,82,55,24,random,COMPLETE
55,55,0.6624438836695925,2023-04-11 15:17:07.547978,2023-04-11 15:17:07.725994,0 days 00:00:00.178016,5.128309195126645,24,90,41,40,random,COMPLETE
56,56,0.6740646443977283,2023-04-11 15:17:07.727995,2023-04-11 15:17:07.989030,0 days 00:00:00.261035,3.9803632723272755,10,86,50,7,random,COMPLETE
57,57,0.6548540342980209,2023-04-11 15:17:07.991032,2023-04-11 15:17:08.175048,0 days 00:00:00.184016,5.856519490398741,15,7,27,26,random,COMPLETE
58,58,0.6131023757514049,2023-04-11 15:17:08.177049,2023-04-11 15:17:08.374063,0 days 00:00:00.197014,1.6955028178285985,7,96,37,13,random,COMPLETE
59,59,0.6304061745732499,2023-04-11 15:17:08.376045,2023-04-11 15:17:08.540078,0 days 00:00:00.164033,3.1531894675390166,2,80,62,7,random,COMPLETE
60,60,0.6617594776107831,2023-04-11 15:17:08.542075,2023-04-11 15:17:08.814101,0 days 00:00:00.272026,7.197168195854768,21,91,40,34,random,COMPLETE
61,61,0.6536533578053747,2023-04-11 15:17:08.816080,2023-04-11 15:17:09.137124,0 days 00:00:00.321044,6.201937431727172,14,73,29,18,random,COMPLETE
62,62,0.6650347340610128,2023-04-11 15:17:09.139106,2023-04-11 15:17:09.425150,0 days 00:00:00.286044,4.7897718405357415,10,85,44,2,random,COMPLETE
63,63,0.6664960229890294,2023-04-11 15:17:09.427129,2023-04-11 15:17:09.617144,0 days 00:00:00.190015,5.33223675187878,29,88,59,11,random,COMPLETE
64,64,0.6615488465598144,2023-04-11 15:17:09.619163,2023-04-11 15:17:09.865162,0 days 00:00:00.245999,3.105338328006459,6,96,34,68,random,COMPLETE
65,65,0.6749400861945132,2023-04-11 15:17:09.868165,2023-04-11 15:17:10.146207,0 days 00:00:00.278042,4.310119272787037,18,100,69,74,random,COMPLETE
66,66,0.6676835234736529,2023-04-11 15:17:10.148206,2023-04-11 15:17:10.369225,0 days 00:00:00.221019,3.764584267140634,4,81,47,9,random,COMPLETE
67,67,0.6625578419405339,2023-04-11 15:17:10.371204,2023-04-11 15:17:10.654228,0 days 00:00:00.283024,6.233441192391036,11,92,53,43,random,COMPLETE
68,68,0.6593648117328184,2023-04-11 15:17:10.657247,2023-04-11 15:17:10.889245,0 days 00:00:00.231998,5.188443378830359,40,87,24,55,random,COMPLETE
69,69,0.6623044867986653,2023-04-11 15:17:10.891246,2023-04-11 15:17:11.209290,0 days 00:00:00.318044,7.000950438487375,15,74,42,6,best,COMPLETE
70,70,0.6508507445677376,2023-04-11 15:17:11.210292,2023-04-11 15:17:11.386304,0 days 00:00:00.176012,2.8239485920816785,8,97,34,84,random,COMPLETE
71,71,0.6570376969303221,2023-04-11 15:17:11.388304,2023-04-11 15:17:11.595321,0 days 00:00:00.207017,2.4086339159344905,50,68,96,89,best,COMPLETE
72,72,0.6492612474312195,2023-04-11 15:17:11.596322,2023-04-11 15:17:11.893328,0 days 00:00:00.297006,3.546519208082717,63,64,86,80,best,COMPLETE
73,73,0.6298872861839028,2023-04-11 15:17:11.895329,2023-04-11 15:17:12.115363,0 days 00:00:00.220034,1.7728731897284293,4,79,67,78,best,COMPLETE
74,74,0.6656231968310284,2023-04-11 15:17:12.117345,2023-04-11 15:17:12.395385,0 days 00:00:00.278040,4.432694520284351,78,93,48,97,best,COMPLETE
75,75,0.6603600133203902,2023-04-11 15:17:12.397383,2023-04-11 15:17:12.707412,0 days 00:00:00.310029,2.9509667548138063,24,84,74,90,best,COMPLETE
76,76,0.6416223579245417,2023-04-11 15:17:12.710393,2023-04-11 15:17:13.172428,0 days 00:00:00.462035,3.8761591646876172,57,46,31,85,best,COMPLETE
77,77,0.6592724343129601,2023-04-11 15:17:13.175429,2023-04-11 15:17:13.488462,0 days 00:00:00.313033,4.660010227491306,47,75,97,70,best,COMPLETE
78,78,0.6292330933413737,2023-04-11 15:17:13.490455,2023-04-11 15:17:13.710473,0 days 00:00:00.220018,2.2338847169497065,2,71,39,4,random,COMPLETE
79,79,0.6806550418208682,2023-04-11 15:17:13.713472,2023-04-11 15:17:13.943511,0 days 00:00:00.230039,5.523143044841083,12,90,89,62,best,COMPLETE
80,80,0.6622693206681459,2023-04-11 15:17:13.945509,2023-04-11 15:17:14.116523,0 days 00:00:00.171014,3.332611657975965,5,27,52,95,random,COMPLETE
81,81,0.6727129187861225,2023-04-11 15:17:14.118522,2023-04-11 15:17:14.375547,0 days 00:00:00.257025,4.816809628831667,39,64,100,75,best,COMPLETE
82,82,0.6704089292655905,2023-04-11 15:17:14.377528,2023-04-11 15:17:14.751555,0 days 00:00:00.374027,5.77674515706598,44,68,92,71,best,COMPLETE
83,83,0.6658777657800004,2023-04-11 15:17:14.754556,2023-04-11 15:17:15.045598,0 days 00:00:00.291042,3.8013625865170613,8,60,82,85,best,COMPLETE
84,84,0.6811432196237195,2023-04-11 15:17:15.047580,2023-04-11 15:17:15.291617,0 days 00:00:00.244037,4.4899634427892785,27,54,98,82,best,COMPLETE
85,85,0.6625963882050001,2023-04-11 15:17:15.293617,2023-04-11 15:17:15.614644,0 days 00:00:00.321027,6.5485233504209654,55,71,93,78,best,COMPLETE
86,86,0.6547924768927048,2023-04-11 15:17:15.616632,2023-04-11 15:17:15.880669,0 days 00:00:00.264037,5.225529747912607,32,93,36,87,best,COMPLETE
87,87,0.6270609414461994,2023-04-11 15:17:15.882663,2023-04-11 15:17:16.084682,0 days 00:00:00.202019,2.135897307599208,19,98,42,94,random,COMPLETE
88,88,0.6683876560398081,2023-04-11 15:17:16.086679,2023-04-11 15:17:16.288697,0 days 00:00:00.202018,4.247495356857255,16,83,85,92,random,COMPLETE
89,89,0.6696500434072294,2023-04-11 15:17:16.290681,2023-04-11 15:17:16.571720,0 days 00:00:00.281039,2.722941416262022,4,78,89,50,best,COMPLETE
90,90,0.6683234613547385,2023-04-11 15:17:16.573722,2023-04-11 15:17:16.762287,0 days 00:00:00.188565,5.9755447768169105,96,88,96,5,random,COMPLETE
91,91,0.6820954670982464,2023-04-11 15:17:16.764307,2023-04-11 15:17:16.973321,0 days 00:00:00.209014,4.895789755538186,24,55,98,82,best,COMPLETE
92,92,0.6795896486322802,2023-04-11 15:17:16.976303,2023-04-11 15:17:17.432339,0 days 00:00:00.456036,5.068486611583407,35,62,95,81,best,COMPLETE
93,93,0.6575409534903638,2023-04-11 15:17:17.437339,2023-04-11 15:17:17.903395,0 days 00:00:00.466056,3.4912935989185607,29,51,98,89,best,COMPLETE
94,94,0.6670897562331649,2023-04-11 15:17:17.905396,2023-04-11 15:17:18.117409,0 days 00:00:00.212013,4.000554889245198,31,43,78,76,best,COMPLETE
95,95,0.6752445355350949,2023-04-11 15:17:18.118411,2023-04-11 15:17:18.342429,0 days 00:00:00.224018,4.827134736414454,26,56,58,10,best,COMPLETE
96,96,0.6748151835773865,2023-04-11 15:17:18.344431,2023-04-11 15:17:18.642434,0 days 00:00:00.298003,5.366721921342158,22,95,92,14,random,COMPLETE
97,97,0.6563292095779991,2023-04-11 15:17:18.646461,2023-04-11 15:17:19.438501,0 days 00:00:00.792040,3.075355643850659,37,48,100,73,best,COMPLETE
98,98,0.6748694085253241,2023-04-11 15:17:19.441501,2023-04-11 15:17:19.647534,0 days 00:00:00.206033,4.311142732921027,10,59,88,86,random,COMPLETE
99,99,0.6506885940127962,2023-04-11 15:17:19.650554,2023-04-11 15:17:19.965559,0 days 00:00:00.315005,5.667957479995808,13,91,26,67,best,COMPLETE
