,number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_learning_rate,params_momentum,params_n_layers,params_n_units_0,params_n_units_1,params_power_t,params_solver,state
29,29,0.5,2023-04-11 16:01:34.425082,2023-04-11 16:01:54.133196,0 days 00:00:19.708114,relu,0.2914336782458656,adaptive,0.169440493252458,2,94,66.0,0.6000000000000001,adam,COMPLETE
30,30,0.5198965847819574,2023-04-11 16:01:54.136179,2023-04-11 16:02:18.589869,0 days 00:00:24.453690,relu,0.20166420627202822,adaptive,0.09282194901760667,2,77,98.0,0.6000000000000001,adam,COMPLETE
31,31,0.5693040069941386,2023-04-11 16:02:18.592873,2023-04-11 16:02:37.316367,0 days 00:00:18.723494,relu,0.08848506567457316,adaptive,0.2790606433037017,2,88,58.0,0.7,adam,COMPLETE
32,32,0.5795637521077094,2023-04-11 16:02:37.318368,2023-04-11 16:02:52.905130,0 days 00:00:15.586762,relu,0.01233584967327691,adaptive,0.20850330410552756,2,62,19.0,0.8,adam,COMPLETE
33,33,0.5496848156939661,2023-04-11 16:02:52.908148,2023-04-11 16:03:07.643148,0 days 00:00:14.735000,relu,0.10702416244996642,adaptive,0.24165887852467438,2,79,41.0,0.9000000000000001,adam,COMPLETE
34,34,0.5192937883662692,2023-04-11 16:03:07.645148,2023-04-11 16:03:28.620308,0 days 00:00:20.975160,relu,0.20810594444927275,adaptive,0.37596994980892456,2,92,55.0,0.5,adam,COMPLETE
35,35,0.5,2023-04-11 16:03:28.622309,2023-04-11 16:04:06.714348,0 days 00:00:38.092039,tanh,0.015245332457033802,adaptive,0.18514987382814654,2,48,12.0,0.6000000000000001,sgd,COMPLETE
36,36,0.5015772478887233,2023-04-11 16:04:06.716348,2023-04-11 16:04:21.803161,0 days 00:00:15.086813,relu,0.271674484291357,adaptive,0.2755556377952804,2,77,37.0,1.0,adam,COMPLETE
37,37,0.5480380769452893,2023-04-11 16:04:21.805176,2023-04-11 16:04:39.170707,0 days 00:00:17.365531,tanh,0.08763973600209318,adaptive,0.07125909149344466,2,67,25.0,0.7,adam,COMPLETE
38,38,0.5,2023-04-11 16:04:39.173705,2023-04-11 16:05:17.801565,0 days 00:00:38.627860,relu,0.06235996001834575,constant,0.14764924347123234,2,57,72.0,0.8,sgd,COMPLETE
