,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_penalty,state
32,32,0.6908562467467914,2023-04-11 15:15:02.345614,2023-04-11 15:15:07.707061,0 days 00:00:05.361447,12.387538767259393,5.37291833903911,l2,COMPLETE
33,33,0.6815243845718991,2023-04-11 15:15:07.710057,2023-04-11 15:15:12.001385,0 days 00:00:04.291328,12.493947269697486,7.661707786705342,l2,COMPLETE
34,34,0.7038150354115693,2023-04-11 15:15:12.004384,2023-04-11 15:15:12.657433,0 days 00:00:00.653049,0.2748153284460736,4.032188504630299,l2,COMPLETE
35,35,0.6855488113485201,2023-04-11 15:15:12.660434,2023-04-11 15:15:15.931552,0 days 00:00:03.271118,100.77110947988493,2.990858543390359,l2,COMPLETE
36,36,0.6047903961710016,2023-04-11 15:15:15.934535,2023-04-11 15:15:18.415581,0 days 00:00:02.481046,13.903069613989503,1.0873854827136586,l2,COMPLETE
37,37,0.6817482771059259,2023-04-11 15:15:18.418583,2023-04-11 15:15:19.475669,0 days 00:00:01.057086,0.2941554429981915,9.205281303219596,l2,COMPLETE
38,38,0.6964563203561204,2023-04-11 15:15:19.478672,2023-04-11 15:15:19.857696,0 days 00:00:00.379024,0.12468180890045893,4.001383330969803,l2,COMPLETE
39,39,0.6405141886696288,2023-04-11 15:15:19.860696,2023-04-11 15:15:22.331895,0 days 00:00:02.471199,1.1678983115632182,2.110982800683702,l2,COMPLETE
40,40,0.7064406598848202,2023-04-11 15:15:22.333894,2023-04-11 15:15:23.343547,0 days 00:00:01.009653,0.22244593334226456,5.45885863156466,l2,COMPLETE
41,41,0.6823540683853719,2023-04-11 15:15:23.345531,2023-04-11 15:15:23.723578,0 days 00:00:00.378047,0.05247541701292174,5.244664761222137,l2,COMPLETE
42,42,0.7024869384318009,2023-04-11 15:15:23.725579,2023-04-11 15:15:24.803872,0 days 00:00:01.078293,0.20341006502180495,6.018637453240808,l2,COMPLETE
43,43,0.6874827247319687,2023-04-11 15:15:24.807871,2023-04-11 15:15:28.943202,0 days 00:00:04.135331,2.238907886424836,7.223857220663829,l2,COMPLETE
44,44,0.6890733242748593,2023-04-11 15:15:28.946203,2023-04-11 15:15:30.591336,0 days 00:00:01.645133,0.3484127064579822,8.536448446226334,l2,COMPLETE
45,45,0.6995796691155245,2023-04-11 15:15:30.593333,2023-04-11 15:15:30.922362,0 days 00:00:00.329029,0.07013865406252824,7.168756035754711,l2,COMPLETE
46,46,0.692931522287915,2023-04-11 15:15:30.926363,2023-04-11 15:15:33.829883,0 days 00:00:02.903520,1.6205236891236274,9.870327438955284,l2,COMPLETE
47,47,0.6868265665862531,2023-04-11 15:15:33.832881,2023-04-11 15:15:38.842265,0 days 00:00:05.009384,5.861760838196788,4.257862658111312,l2,COMPLETE
48,48,0.6964112971734695,2023-04-11 15:15:38.844262,2023-04-11 15:15:39.856359,0 days 00:00:01.012097,0.2051627398463056,5.621785003139902,l2,COMPLETE
49,49,0.684499445567045,2023-04-11 15:15:39.858343,2023-04-11 15:15:41.910508,0 days 00:00:02.052165,0.611619810079746,3.564897605204612,l2,COMPLETE
50,50,0.6912572358705071,2023-04-11 15:15:41.912510,2023-04-11 15:15:46.676902,0 days 00:00:04.764392,7.8002642043850186,4.939421095139485,l2,COMPLETE
51,51,0.7112687574535721,2023-04-11 15:15:46.679892,2023-04-11 15:15:47.395950,0 days 00:00:00.716058,0.16638253866272118,5.8475532354411985,l2,COMPLETE
52,52,0.7084076532309211,2023-04-11 15:15:47.398948,2023-04-11 15:15:47.814998,0 days 00:00:00.416050,0.1057070858254651,6.089360756114547,l2,COMPLETE
53,53,0.6862084191760682,2023-04-11 15:15:47.815983,2023-04-11 15:15:48.074005,0 days 00:00:00.258022,0.036625803905355345,5.911613356681188,l2,COMPLETE
54,54,0.7067747648214172,2023-04-11 15:15:48.077007,2023-04-11 15:15:48.485043,0 days 00:00:00.408036,0.09290290180131958,6.878098914194744,l2,COMPLETE
55,55,0.6836177988385136,2023-04-11 15:15:48.489038,2023-04-11 15:15:48.936071,0 days 00:00:00.447033,0.09565446151984403,6.613869817097202,l2,COMPLETE
56,56,0.647456625977919,2023-04-11 15:15:48.938089,2023-04-11 15:15:49.158090,0 days 00:00:00.220001,0.011836756834712893,7.288225741934441,l2,COMPLETE
57,57,0.6898901735026189,2023-04-11 15:15:49.160089,2023-04-11 15:15:49.559125,0 days 00:00:00.399036,0.09394505603802517,7.971262227239098,l1,COMPLETE
58,58,0.6917405850378997,2023-04-11 15:15:49.562139,2023-04-11 15:15:50.505201,0 days 00:00:00.943062,0.20061517983090574,8.291099828927608,l2,COMPLETE
59,59,0.6846020484021293,2023-04-11 15:15:50.506197,2023-04-11 15:15:50.854228,0 days 00:00:00.348031,0.038591032522378825,5.9838886512871365,l2,COMPLETE
60,60,0.6125763945055882,2023-04-11 15:15:50.857226,2023-04-11 15:15:51.082261,0 days 00:00:00.225035,0.010364403968144578,8.686281555537345,l1,COMPLETE
61,61,0.7018805914421552,2023-04-11 15:15:51.086242,2023-04-11 15:15:53.410817,0 days 00:00:02.324575,0.4251972272768602,6.734218749532581,l2,COMPLETE
62,62,0.7001389999675725,2023-04-11 15:15:53.412821,2023-04-11 15:15:57.220134,0 days 00:00:03.807313,1.1096598229838626,4.311097460459953,l2,COMPLETE
63,63,0.6946024166720196,2023-04-11 15:15:57.223127,2023-04-11 15:15:57.570171,0 days 00:00:00.347044,0.10827261963272515,5.668688562940365,l2,COMPLETE
64,64,0.6762694138756677,2023-04-11 15:15:57.572168,2023-04-11 15:16:01.440822,0 days 00:00:03.868654,2.721479980666395,4.781129222303595,l2,COMPLETE
65,65,0.6586780539481646,2023-04-11 15:16:01.442802,2023-04-11 15:16:01.676823,0 days 00:00:00.234021,0.02532969904786676,3.4161068109082597,l2,COMPLETE
66,66,0.6973015558218101,2023-04-11 15:16:01.678821,2023-04-11 15:16:02.351894,0 days 00:00:00.673073,0.16205171795227746,6.504582396206002,l2,COMPLETE
67,67,0.6728830350133463,2023-04-11 15:16:02.355877,2023-04-11 15:16:02.696905,0 days 00:00:00.341028,0.05747931108746121,3.9889831412813193,l2,COMPLETE
68,68,0.7130064063548348,2023-04-11 15:16:02.699904,2023-04-11 15:16:03.993217,0 days 00:00:01.293313,0.30637234739675817,5.601238388176761,l2,COMPLETE
69,69,0.6942513601587886,2023-04-11 15:16:03.996217,2023-04-11 15:16:06.141363,0 days 00:00:02.145146,0.4102606681419474,7.576317045067033,l2,COMPLETE
70,70,0.7034681122763227,2023-04-11 15:16:06.145362,2023-04-11 15:16:10.604193,0 days 00:00:04.458831,0.8470632212061502,7.016916597951071,l1,COMPLETE
71,71,0.6903516265655422,2023-04-11 15:16:10.606180,2023-04-11 15:16:14.988539,0 days 00:00:04.382359,0.9967894909070524,6.07896753368495,l1,COMPLETE
72,72,0.697024202667405,2023-04-11 15:16:14.990548,2023-04-11 15:16:16.082617,0 days 00:00:01.092069,0.25185982645280236,7.002977875084099,l1,COMPLETE
73,73,0.6980568701216623,2023-04-11 15:16:16.086616,2023-04-11 15:16:19.427000,0 days 00:00:03.340384,0.4852911825058964,5.4634593814890655,l1,COMPLETE
74,74,0.6857580111353985,2023-04-11 15:16:19.430016,2023-04-11 15:16:20.916140,0 days 00:00:01.486124,0.290887279988837,7.896997877554278,l1,COMPLETE
75,75,0.7002029941855197,2023-04-11 15:16:20.918121,2023-04-11 15:16:21.926201,0 days 00:00:01.008080,0.15875466189448656,6.305752275014083,l1,COMPLETE
76,76,0.6989954713911892,2023-04-11 15:16:21.929202,2023-04-11 15:16:24.404438,0 days 00:00:02.475236,0.6314753607543585,7.016322326844428,l2,COMPLETE
77,77,0.6900914077363796,2023-04-11 15:16:24.407438,2023-04-11 15:16:29.167825,0 days 00:00:04.760387,1.6844304725564825,4.766739328268621,l2,COMPLETE
78,78,0.6809989232469378,2023-04-11 15:16:29.169835,2023-04-11 15:16:29.553851,0 days 00:00:00.384016,0.07882183556888271,5.329742225670748,l1,COMPLETE
79,79,0.6879934047855729,2023-04-11 15:16:29.556850,2023-04-11 15:16:32.487086,0 days 00:00:02.930236,0.8664320134805817,9.01244292036981,l2,COMPLETE
80,80,0.6947358670040712,2023-04-11 15:16:32.491086,2023-04-11 15:16:38.898600,0 days 00:00:06.407514,3.7162161457883487,7.543064323983208,l2,COMPLETE
